bin,N,frac_FITPROB_lt_0.01,frac_abs_x1_gt_3,frac_abs_c_gt_0.3
0.00-0.10,618,0.2815533980582524,0.0,0.0
0.10-0.20,207,0.057971014492753624,0.0,0.0
0.20-0.28,211,0.018957345971563982,0.0,0.0
0.28-0.32 *,99,0.010101010101010102,0.0,0.0
0.32-0.40,135,0.022222222222222223,0.0,0.0
0.40-0.50,98,0.05102040816326531,0.0,0.0
0.50-0.60,81,0.07407407407407407,0.0,0.0
0.60-0.70,54,0.037037037037037035,0.0,0.0
0.70-0.80,45,0.044444444444444446,0.0,0.0
0.80-0.90,3,,,
0.90-1.00,2,,,
