pair,observed_mag,predicted_mag,ratio_obs_pred,sign_match
Pantheon+ vs Union3,0.038533620241726796,0.030228573695665138,1.2747415948127458,True
Pantheon+ vs DES-Y5,-0.11014204423149127,0.01371809624306615,-8.0289598702271,False
Union3 vs DES-Y5,-0.14867566447321806,-0.01651047745259899,9.004928228154562,True
