CID,z,MU,MUERR,residual_LCDM,abs_residual_LCDM
1299503,0.29498,43.93669,0.25026,3.012895177725106,3.012895177725106
1289982,0.11621,41.38301,0.20912,2.703506067229526,2.703506067229526
1291149,0.23057,42.30845,0.23986,1.9932878978336959,1.9932878978336959
1294436,0.178,41.63537,0.25939,1.9471899565531459,1.9471899565531459
1319870,0.26767,42.34894,0.22011,1.6665826544450724,1.6665826544450724
1900801,0.63579,44.55917,0.28905,1.6634806335643049,1.6634806335643049
