framework,r_d_Mpc,chi2,dof,chi2_per_dof
Model-A V_3 numerical KG,128.39859055082232,8.025818588254953,4,2.0064546470637383
LCDM,148.66995021745876,6.40920845186939,4,1.6023021129673476
