z_lo,z_hi,z_center,N,var_V3_num_KG,var_LCDM,1sigma_var
0.01030029,0.01232861278386058,0.011268907975996223,15,1.3227274961302335,1.5036831123998107,0.3651483716701107
0.01232861278386058,0.014756350857536104,0.0134879700409421,36,0.43715578664831467,0.502838075969168,0.23570226039551584
0.014756350857536104,0.01766215667960336,0.01614400758377554,69,0.754405185765353,0.767729024346858,0.17025130615174972
0.01766215667960336,0.02114017087195668,0.01932306937766581,49,1.182784944984051,1.274777513491427,0.20203050891044214
0.02114017087195668,0.02530307213340616,0.02312814883395668,103,0.9627533706231711,0.8433209137920642,0.13934660285832354
0.02530307213340616,0.03028572773920519,0.02768252072333386,81,1.0562195390788878,1.0692951848909356,0.15713484026367722
0.03028572773920519,0.036249562893286125,0.03313373496078066,86,0.7962878822184095,0.9052823497800261,0.15249857033260467
0.036249562893286125,0.04338779048895959,0.039658396842664506,49,1.2092144972906216,1.3437906346367507,0.20203050891044214
0.04338779048895959,0.051931670708849145,0.04746788860331989,43,0.985163819325486,0.883195494145607,0.21566554640687682
0.051931670708849145,0.06215800325897191,0.056815217654819394,30,0.790939900488785,0.737937407252042,0.2581988897471611
0.06215800325897191,0.07439809496604555,0.06800321337525721,27,0.8489099799829989,0.7328968286755272,0.2721655269759087
0.07439809496604555,0.08904849326506946,0.0813943380003665,24,1.2189226415742231,1.227334714397823,0.28867513459481287
0.08904849326506946,0.10658383331452405,0.09742242946608178,13,0.4970646146418802,0.5424590545912209,0.3922322702763681
0.10658383331452405,0.12757221495261847,0.11660675663988995,34,0.6237582503555045,0.6192054932044337,0.24253562503633297
0.12757221495261847,0.15269360766835327,0.13956884229425262,46,0.7012130075611652,0.7049795790817406,0.20851441405707477
0.15269360766835327,0.18276187986103812,0.16705259884309512,72,1.2980278055464705,1.2788130788306322,0.16666666666666666
0.18276187986103812,0.21875116607951686,0.19994842918734484,94,1.2028081971042595,1.2057579213046605,0.14586499149789456
0.21875116607951686,0.261827426471715,0.2393220734748189,127,0.7156984550055272,0.7141915802638478,0.12549116102763172
0.261827426471715,0.3133862208893635,0.2864491363351589,123,0.8628493192612774,0.8275415227782755,0.12751534261266767
0.3133862208893635,0.3750979214315678,0.342856413183266,125,0.8444597641716592,0.8009082310096428,0.12649110640673517
0.3750979214315678,0.4489618281971441,0.4103713544569911,85,0.8833939826770941,0.822679881644815,0.1533929977694741
0.4489618281971441,0.5373709414566705,0.49118127030293746,72,0.649618584708986,0.7176827695307302,0.16666666666666666
0.5373709414566705,0.643189488695746,0.5879041937896579,75,0.6445124460211855,0.642718442009205,0.16329931618554522
0.643189488695746,0.7698457182059074,0.7036736984337747,62,0.5232284974660576,0.5247626414216611,0.1796053020267749
0.7698457182059074,0.9214429654964745,0.8422404179083396,10,0.5437125496831279,0.8550529207756629,0.4472135954999579
0.9214429654964745,1.1028925907929046,1.0080935569104208,7,2.319440874830445,1.5256782014007608,0.5345224838248488
1.1028925907929046,1.3200730944540897,1.2066063298269563,7,1.876176390254323,0.895619156923836,0.5345224838248488
1.3200730944540897,1.5800205652381727,1.4442100390369312,8,0.7265193098014228,0.40675978268089596,0.5
1.5800205652381727,1.8911566314499835,1.728602432538356,3,,,
1.8911566314499835,2.2635612999999997,2.0689970911503344,2,,,
