lna,a,A,omega,h,h2
-6.907755278982137,0.0010000000000000002,0.9999632048006387,-1.1134886839839298,20174.528259369916,407011590.4881153
-6.904762513749248,0.0010029972480256248,0.9999630398966,-1.1052670826950914,20077.38185677706,403101262.2228407
-6.90176974734645,0.0010060034807239096,0.9999628748705846,-1.1050084822801574,19980.718841261423,399229125.41353923
-6.898776979776409,0.0010090187250285118,0.9999627084485616,-1.1123081239237251,19884.536704825812,395394799.96556497
-6.895784211041502,0.0010120430079541148,0.99996254003459,-1.1193077405547753,19788.83295317776,391597909.648774
-6.892791441143369,0.0010150763565971324,0.9999623702781621,-1.118755265541923,19693.60511506384,387838082.4280687
-6.889798670083205,0.0010181187981356604,0.9999622003921796,-1.1110993371881626,19598.850736879045,384114950.2064643
-6.886805897862487,0.0010211703598289876,0.9999620309385685,-1.1037223187489085,19504.567373311143,380428148.4200336
-6.8838131244833995,0.0010242310690174018,0.9999618612924962,-1.103448298956658,19410.752583266534,376777315.84878844
-6.88082034994855,0.0010273009531227108,0.9999616902847509,-1.1099338602420086,19317.403934741014,373162094.7779476
-6.877827574260289,0.0010303800396491874,0.9999615173542018,-1.1163001150867253,19224.519013444544,369582131.2982908
-6.874834797420295,0.0010334683561842451,0.9999613430723213,-1.1160487395702376,19132.095426596763,366037075.4124048
-6.871842019429827,0.0010365659303984366,0.9999611685537863,-1.1093006890303196,19040.13079836894,362526580.81899744
-6.868849240290373,0.00103967279004503,0.9999609943615564,-1.1024044734416933,18948.622761646962,359050304.56320536
-6.865856460004063,0.00104278896295983,0.9999608199775398,-1.1016100621614857,18857.568954097587,355607906.8585452
-6.862863678573446,0.001045914477061643,0.9999606443264454,-1.1071183992148412,18766.96702203983,352199051.2063305
-6.8598708960008805,0.0010490493603531653,0.9999604668157371,-1.1131377870070858,18676.814628035052,348823404.6499841
-6.85687811228812,0.0010521936409216702,0.9999602878832821,-1.1136110068365324,18587.10945476867,345480637.8835509
-6.85388532743649,0.001055347346939084,0.9999601085496165,-1.1079405767241572,18497.849201642188,342170425.08669454
-6.850892541447464,0.0010585105066616353,0.9999599294328257,-1.1013278524505539,18409.031577530684,338892443.6225219
-6.847899754323079,0.0010616831484296626,0.9999597501733882,-1.099664914981333,18320.654296604665,335646373.855699
-6.844906966065815,0.0010648653006679904,0.9999595697953395,-1.1040049964565253,18232.715080931506,332431899.2224272
-6.84191417667806,0.0010680569918867476,0.9999593876337998,-1.1097759183395153,18145.21166708103,329248706.44317347
-6.838921386161675,0.0010712582506820882,0.9999592039439216,-1.1112466259547331,18058.141810362096,326096485.64314765
-6.835928594518066,0.0010744691057363823,0.9999590196352903,-1.1068723136137242,17971.503282797978,322974930.2436185
-6.832935801748674,0.0010776895858179484,0.9999588354075131,-1.1005505078371962,17885.29386690883,319883736.70568657
-6.829943007855419,0.0010809197197808322,0.9999586511059042,-1.0978262346820045,17799.51135113619,316822604.339226
-6.826950212840692,0.0010841595365650677,0.9999584658831611,-1.1007530538415982,17714.15353097579,313791235.318982
-6.823957416706909,0.0010874090651974116,0.9999582789919292,-1.1061571968024477,17629.218214486835,310789334.85399437
-6.820964619456062,0.0010906683347920942,0.999958090462491,-1.1087275046124732,17544.70322691816,307816611.3206326
-6.817971821089662,0.0010939373745511467,0.9999579010513993,-1.1059110759099495,17460.606410225264,304872776.2127996
-6.814979021609131,0.0010972162137642455,0.9999577115316904,-1.1001100950912028,17376.925618064906,301957543.93576044
-6.811986221016252,0.0011005048818084754,0.9999575219890414,-1.0963273121292731,17293.6587109075,299070631.60934687
-6.808993419313289,0.0011038034081484573,0.9999573317587149,-1.097579818804559,17210.8035555968,296211759.0293435
-6.8060006165026685,0.0011071118223369588,0.9999571400391607,-1.1022795000372732,17128.358029512587,293380648.7871683
-6.803007812586521,0.0011104301540156606,0.9999569466105348,-1.1058244914110618,17046.32002537765,290577026.40759104
-6.800015007566502,0.0011137584329156288,0.9999567520128722,-1.1047999232090226,16964.68745234887,287800620.3558832
-6.797022201444045,0.0011170966888573092,0.9999565570426209,-1.099953063981241,16883.458232517412,285051161.88916
-6.794029394220795,0.0011204449517503061,0.9999563620361438,-1.0953750965753313,16802.630296039817,282328384.8653951
-6.791036585898853,0.001123803251593378,0.9999561665804115,-1.094779956355692,16722.201579186392,279632025.6549439
-6.788043776480605,0.0011271716184748887,0.999955969892111,-1.0982673524957367,16642.170026848282,276961823.20252734
-6.785050965968308,0.0011305500825735406,0.9999557715111912,-1.1023721759187894,16562.533597079266,274317519.1543794
-6.782058154363797,0.0011339386741589786,0.9999555716920197,-1.103212159452095,16483.290263579063,271698857.91340035
-6.779065341668574,0.0011373374235919688,0.9999553711604662,-1.099867959624251,16404.438013988678,269105586.5547968
-6.776072527884177,0.0011407463613242544,0.9999551704680036,-1.0950654252649747,16325.974845586254,266537454.6587151
-6.773079713012513,0.001144165517898446,0.999954969514877,-1.0926932967588225,16247.898762146478,263994214.18496108
-6.77008689705586,0.0011475949239482886,0.9999547676485148,-1.0944251696718645,16170.207774565339,261475619.47261333
-6.767094080016551,0.0011510346101992908,0.9999545642346769,-1.0983714049690616,16092.899904516324,258981427.3367815
-6.764101261896618,0.001154484607469413,0.9999543591971966,-1.1008206415082336,16015.973187847354,256511397.15384534
-6.761108442697704,0.0011579449466694496,0.999954153066165,-1.0994576592550078,15939.425674787688,254065290.84208095
-6.758115622421307,0.0011614156588030285,0.9999539465086723,-1.0952700256885863,15863.255426862985,251642872.73789793
-6.755122801069138,0.0011648967749664718,0.9999537397561529,-1.0915937266899778,15787.46051320413,249243909.45597965
-6.752129978643299,0.0011683883263488707,0.9999535324155556,-1.091224992453721,15712.039009331687,246868169.83076066
-6.749137155146112,0.0011718903442325492,0.9999533238116454,-1.0940995537715543,15636.988999291592,244515424.96396628
-6.746144330579779,0.0011754028599937475,0.9999531135569828,-1.097450474435405,15562.308579179175,242185448.31359375
-6.743151504946145,0.001178925905103179,0.9999529018658289,-1.0982068243724972,15487.99585901414,239878015.72883913
-6.740158678246766,0.0011824595111262404,0.999952689357953,-1.0955488367940285,15414.048961424805,237592905.38520113
-6.737165850483218,0.0011860037097229368,0.9999524765307778,-1.0915027275211822,15340.466018305873,235329897.65879726
-6.734173021657375,0.001189558532647827,0.9999522633468804,-1.089170877947624,15267.245168237265,233088775.0270641
-6.731180191771439,0.0011931240117502714,0.9999520492736352,-1.0901500981313124,15194.384556709218,230869322.05716357
-6.7281873608276985,0.0011967001789750008,0.9999518337288915,-1.0932812999112334,15121.882338817462,228671325.4690395
-6.725194528828218,0.0012002870663627729,0.999951616555509,-1.0956918134817717,15049.736682090399,226494574.20025733
-6.722201695774721,0.0012038847060508021,0.9999513981364383,-1.0951872669138363,14977.945767099594,224338859.40217665
-6.719208861668752,0.0012074931302728604,0.9999511790673558,-1.0920012037920506,14906.50778539765,222203974.35612077
-6.716216026511983,0.0012111123713592004,0.9999509596653985,-1.0885201549994907,14835.420936506252,220089714.36332804
-6.7132231903064,0.0012147424617366088,0.9999507397156924,-1.087291497362679,14764.683426369735,217995876.6809171
-6.710230353054242,0.001218383433928773,0.9999505186526725,-1.0889803204742807,14694.293468416026,215922260.53593388
-6.70723751475773,0.0012220353205568953,0.9999502960180225,-1.091905766172776,14624.249286236809,213868667.1859978
-6.7042446754188205,0.0012256981543402876,0.9999500718211003,-1.09345890223531,14554.549115650403,211834899.95987993
-6.701251835039175,0.0012293719680967093,0.9999498465175404,-1.0922005303983071,14485.191204491462,209820764.23067683
-6.698258993620362,0.0012330567947424135,0.9999496206341417,-1.0889550503008267,14416.173810336646,207826067.32983622
-6.695266151164132,0.001236752667292108,0.9999493943470628,-1.0860829682471005,14347.495197994322,205850618.45647013
-6.692273307672535,0.0012404596188590998,0.999949167347099,-1.0855786717394598,14279.15363869624,203894228.63749206
-6.689280463147804,0.0012441776826557292,0.999948939089525,-1.0875269369360834,14211.147411520538,201956710.7519669
-6.686287617592097,0.0012479068919939902,0.9999487092219304,-1.0901034050465317,14143.474805814065,200037879.5826972
-6.683294771007302,0.0012516472802860709,0.9999484778512892,-1.091054647096656,14076.134122656416,198137551.83901232
-6.680301923395055,0.001255398881044637,0.9999482454472907,-1.0894531169632704,14009.123674227718,196255546.1198075
-6.6773090747569555,0.0012591617278828644,0.999948012467219,-1.0863647419943188,13942.441781606616,194391682.83348987
-6.6743162250948025,0.0012629358545144442,0.9999477789998042,-1.0839627141577677,13876.08677270941,192545784.12376106
-6.671323374410671,0.0012667212947537832,0.9999475447012944,-1.0838292643144478,13810.056981905542,190717673.843478
-6.668330522706773,0.0012705180825164765,0.9999473090644038,-1.0857716088281728,13744.350751503162,188907177.5803455
-6.665337669985221,0.001274326251819915,0.9999470718054263,-1.0880290284761536,13678.966433870106,187114122.69894505
-6.662344816247867,0.0012781458367837938,0.9999468330716937,-1.0886574663962174,13613.902392522445,185338338.35312834
-6.659351961496345,0.0012819768716303668,0.9999465933171645,-1.087000018510844,13549.15700135989,183579655.44749972
-6.656359105732276,0.0012858193906844985,0.9999463529494793,-1.084135816823605,13484.72864265364,181837906.56600347
-6.6533662489574805,0.0012896734283736977,0.9999461120205512,-1.0820138443945877,13420.615705304737,180112925.90947217
-6.650373391174028,0.0012935390192283511,0.9999458701914572,-1.081971294563016,13356.816584627653,178404549.27538434
-6.6473805323841075,0.0012974161978822052,0.9999456269901833,-1.083761586273422,13293.32968372975,176712614.0803305
-6.644387672589804,0.001301304999072957,0.9999453821621761,-1.085790358222056,13230.153415371204,175036959.39425832
-6.641394811792962,0.0013052054576427525,0.9999451358510419,-1.0863363698936672,13167.286202878513,173377425.94851485
-6.638401949995226,0.001309117608538443,0.9999448884805063,-1.0848200971127773,13104.726479438867,171733856.1009062
-6.635409087198227,0.0013130414868116626,0.9999446404328929,-1.0821892659518626,13042.472686316654,170106093.77331597
-6.63241622340378,0.0013169771276188846,0.9999443917657516,-1.080176287884568,12980.523271301221,168493984.39679256
-6.62942335861393,0.001320924566221663,0.9999441421727823,-1.0800132174153567,12918.876688474444,166897374.8920084
