catalog,model,chi2,dof,chi2_per_dof,DeltaM,N
Pantheon+,V_3 numerical KG,1456.2479766041902,1577,0.9234292812962525,0.04877977483655242,1578
Pantheon+,LCDM,1427.8772319675495,1577,0.9054389549572286,-0.1780111711801224,1578
Union3,V_3 numerical KG,32.818071908431136,21,1.5627653289729113,0.046409067182217226,22
Union3,LCDM,26.393090977022403,21,1.256813856048686,-0.15814085893494248,22
