z,mu_LCDM,mu_STAM,Delta_mu,fractional_dL_pct
0.001,28.242444979443473,28.24263331483134,-0.00018833538786822146,-0.008672789023678185
0.00517195325542571,31.817617895627436,31.81853806475654,-0.0009201691291060854,-0.042366377309033254
0.00934390651085142,33.10883236625606,33.11044807747891,-0.0016157112228469828,-0.07437857693918248
0.01351585976627713,33.917209458237615,33.919481866499936,-0.002272408262321335,-0.10459353059609766
0.01768781302170284,34.5081198864526,34.511011203761605,-0.0028913173090074906,-0.13306147730453022
0.021859766277128552,34.97469324206729,34.97816664415885,-0.0034734020915578867,-0.15982821600936115
0.02603171953255426,35.360655016640855,35.36467491794768,-0.004019901306826057,-0.18495204900288442
0.03020367278797997,35.690073453164366,35.694605442566555,-0.004531989402188685,-0.20848818561011173
0.03437562604340568,35.97762086777406,35.982631659791714,-0.005010792017657195,-0.2304894642450539
0.03854757929883139,36.232905954490036,36.238363346929916,-0.005457392439879527,-0.2510066597128935
0.0427195325542571,36.46256529394911,36.46843812910644,-0.005872835157326506,-0.27008865624651435
0.04689148580968281,36.67137528355867,36.67763342009693,-0.006258136538264125,-0.28778294675422256
0.05106343906510852,36.86288828388424,36.86950256256479,-0.006614278680551422,-0.3041353583560835
0.05523539232053423,37.03981868480924,37.046760855897176,-0.006942171087935378,-0.3191883007676366
0.05940734557595994,37.20428682243322,37.21152954916402,-0.0072427267308015075,-0.3329842656783599
0.06357929883138565,37.35798079508103,37.365497622497436,-0.007516827416402805,-0.34556424279363895
0.06775125208681136,37.50226652301686,37.51003184833664,-0.0077653253197809136,-0.3569677961304918
0.07192320534223708,37.638264864352365,37.64625390868362,-0.00798904433125358,-0.36723313142650316
0.07609515859766278,37.76690695485976,37.77509573613305,-0.008188781273290147,-0.3763971571274505
0.08026711185308849,37.88897472198905,37.89734002814993,-0.008365306160875718,-0.38449550110195574
0.0844390651085142,38.00513106933448,38.01365042779543,-0.00851935846095131,-0.3915623434831428
0.0886110183639399,38.115943306894266,38.124594970653675,-0.008651663759408734,-0.3976311853165604
0.09278297161936562,38.22190025542611,38.23066317730555,-0.008762921879444718,-0.4027343072224965
0.09695492487479133,38.323426237758284,38.332280048093004,-0.008853810334720436,-0.40690293130798416
0.10112687813021703,38.42089195466086,38.42981693984679,-0.00892498518592788,-0.4101672636864562
0.10529883138564275,38.51462316065874,38.52360024250781,-0.008977081849067758,-0.41255653453728947
0.10947078464106846,38.604907653140366,38.613918369001404,-0.009010715861037966,-0.41409903598036424
0.11364273789649418,38.69200094071023,38.70102742303869,-0.009026482328458485,-0.4148220993525409
0.11781469115191988,38.77613078805588,38.785155732327674,-0.009024944271793345,-0.4147515630195886
0.12198664440734559,38.857501484389616,38.866508161366326,-0.009006676976710537,-0.4139138085250571
0.1261585976627713,38.93629658236504,38.94526880602509,-0.008972223660052236,-0.4123337294198892
0.130330550918197,39.01268173826001,39.02160384918564,-0.008922110925631443,-0.4100354419371399
0.13450250417362272,39.086806968071215,39.095663817417474,-0.008856849346258855,-0.4070423133963885
0.13867445742904844,39.15880855888932,39.167585492909296,-0.008776934019977034,-0.4033769892914596
0.14284641068447415,39.22881069689119,39.23749354199325,-0.008682845102065073,-0.3990614191428876
0.14701836393989987,39.296926860918916,39.30550190923328,-0.008575048314362732,-0.39411688119501687
0.15119031719532555,39.363260891811855,39.371714867665744,-0.008453975853889517,-0.38856310786806736
0.15536227045075127,39.42790842190175,39.436228507437846,-0.008320085536098532,-0.3824209998390504
0.15953422370617698,39.49095737205782,39.49913117479414,-0.00817380273631585,-0.37570996397744416
0.1637061769616027,39.55248887006404,39.560504410275556,-0.008015540211516736,-0.3684488234814598
0.1678781302170284,39.612577934394245,39.62042363291596,-0.007845698521713018,-0.36065583807961543
0.17205008347245412,39.67129407401009,39.678958740439384,-0.007664666429292311,-0.35234872314747756
0.1762220367278798,39.728701816290254,39.7361746375728,-0.00747282128254767,-0.34354466803105943
0.18039398998330552,39.784861173183614,39.792131702568014,-0.007270529384399538,-0.33426035362776885
