z_lo,z_hi,label,N,mean_resid,rms_resid,expected_rms,ratio_rms_to_expected,chi2_per_sn,sigma_chi2,excess_sigma,catalog,cosmology
0.0,0.1,0.00-0.10,618,-0.01857513650933277,0.1712317078559871,0.18138878911204515,0.9440038091340698,0.956146822784534,0.05688801239885743,-0.7708685075512811,Pantheon+,V_3 numerical KG
0.1,0.2,0.10-0.20,207,0.0047046011738625495,0.1414345324414902,0.14638710081501086,0.9661680001451822,1.0049449838036506,0.09829463743659808,0.050307767876352494,Pantheon+,V_3 numerical KG
0.2,0.28,0.20-0.28,211,0.009176577322868343,0.14549433988087085,0.15539532021596947,0.9362852090954981,0.830221597265474,0.0973584767022471,-1.7438481833868653,Pantheon+,V_3 numerical KG
0.28,0.32,0.28-0.32 *TRANSITION*,99,0.04078281668699534,0.15689615200849033,0.16340212218742306,0.9601842981484026,0.9143217537958527,0.1421338109037403,-0.6027998944049467,Pantheon+,V_3 numerical KG
0.32,0.4,0.32-0.40,135,0.02989411720193536,0.13073363478313804,0.15651281287036084,0.835290302343645,0.7723337279325844,0.12171612389003691,-1.8704692919164778,Pantheon+,V_3 numerical KG
0.4,0.5,0.40-0.50,98,0.05155853974209335,0.15127793966521025,0.16788138365998725,0.9011001480163863,0.8935968156229809,0.14285714285714285,-0.7448222906391339,Pantheon+,V_3 numerical KG
0.5,0.6,0.50-0.60,81,0.018313727528624403,0.14114158821592326,0.18371194172090227,0.7682766122539139,0.6529795067126896,0.15713484026367722,-2.208424896127422,Pantheon+,V_3 numerical KG
0.6,0.7,0.60-0.70,54,0.044348411919780395,0.1447682213839121,0.2087766589763648,0.6934119076994187,0.5089677466732605,0.19245008972987526,-2.5514784327508337,Pantheon+,V_3 numerical KG
0.7,0.8,0.70-0.80,45,0.01847780671885603,0.14657620608361419,0.1979153870835829,0.7406003557556273,0.533263132389736,0.21081851067789195,-2.2139273544313567,Pantheon+,V_3 numerical KG
0.8,0.9,0.80-0.90,3,-0.05205543672185511,0.16001197654878915,0.22031452516799702,0.726288820161879,0.44081650267135714,0.816496580927726,-0.6848571205200678,Pantheon+,V_3 numerical KG
0.9,1.0,0.90-1.00,2,0.05717405077068044,0.24305045987908852,0.1595488639884346,1.523360642020659,2.547524391614729,1.0,1.5475243916147292,Pantheon+,V_3 numerical KG
1.0,1.5,1.00-1.50,18,0.17850322645275646,0.28766225931433437,0.2801745348885227,1.0267252140841099,1.5138797208406265,0.3333333333333333,1.5416391625218795,Pantheon+,V_3 numerical KG
1.5,2.5,1.50-2.50,7,0.04831582206714404,0.1308010346767356,0.2361528832890132,0.5538828611999462,0.46773888998387975,0.5345224838248488,-0.995769356992157,Pantheon+,V_3 numerical KG
0.0,0.1,0.00-0.10,201,-0.04754810050960093,0.1329744111479989,0.12347433938099098,1.0769396444203245,1.3509493471202536,0.09975093361076329,3.5182562650459803,DES,V_3 numerical KG
0.1,0.2,0.10-0.20,44,0.1355484499685648,0.5839755363640995,0.15380831735105754,3.796774754587641,10.155561890233843,0.21320071635561044,42.9433917799916,DES,V_3 numerical KG
0.2,0.28,0.20-0.28,119,0.01964692346171011,0.31604671675404505,0.15888783814403176,1.989118364538064,2.5605988161026763,0.12964074471043288,12.037872966469365,DES,V_3 numerical KG
0.28,0.32,0.28-0.32 *TRANSITION*,82,0.10786658129673944,0.4975937665556592,0.17350533480938582,2.867887417423327,4.9753322692868425,0.15617376188860607,25.45454640531951,DES,V_3 numerical KG
