catalog,model,chi2,dof,chi2_per_dof,DeltaM,N
Pantheon+,LCDM,711.6482692434982,1577,0.4512671333186419,-0.17749486972095715,1578
Pantheon+,STAM,707.8844227821586,1577,0.44888042028037956,-0.17581222225978207,1578
Union3,LCDM,16.220372895460077,21,0.7723987093076227,-0.21602848996268395,22
Union3,STAM,17.97634750976314,21,0.8560165480839591,-0.18411726880584373,22
