VARNAMES:,CID,CIDint,IDSURVEY,TYPE,FIELD,CUTFLAG_SNANA,ERRFLAG_FIT,zHEL,zHELERR,zCMB,zCMBERR,zHD,zHDERR,VPEC,VPECERR,LENSDMU,LENSDMUERR,MWEBV,HOST_NMATCH,HOST_NMATCH2,HOST_OBJID,HOST_ZPHOT,HOST_ZPHOTERR,HOST_ZSPEC,HOST_ZSPECERR,HOST_RA,HOST_DEC,HOST_ANGSEP,HOST_DDLR,HOST_CONFUSION,HOST_LOGMASS,HOST_LOGMASS_ERR,HOST_LOGSFR,HOST_LOGSFR_ERR,HOST_LOGsSFR,HOST_LOGsSFR_ERR,HOST_COLOR,HOST_COLOR_ERR,HOST_MAG_g,HOST_MAG_i,HOST_SBFLUXCAL_g,HOST_SBFLUXCAL_i,HOST_SBMAG_g,HOST_SBMAG_i,PKMJDINI,SNRMAX1,SNRMAX2,SNRMAX3,SNRSUM,BANDLIST,PKMJD,PKMJDERR,x1,x1ERR,c,cERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,NDOF,FITCHI2,FITPROB,RADIUS_POP,PROB_SCONE,PROB_SNIRFV19,PROB_SNNDESCC,PROB_SNNJ17,PROB_SNNV19,CUTMASK,MU,MUMODEL,MUERR,MUERR_RENORM,MUERR_RAW,MUERR_VPEC,MURES,MUPULL,M0DIF,M0DIFERR,CHI2_BEAMS,PROBCC_BEAMS,biasCor_nevt,biasCor_mu,biasCorErr_mu,biasCor_muCOVSCALE,biasCor_muCOVADD,IDSAMPLE,IZBIN
SN:,1590133,1590133,10,0,C2+C3,3,0,0.69426,0.001,0.69362,0.001,0.69362,0.00197,0,300,0,0,0.00788044,1,1,108222,-9,-9,0.6943,0.001,53.607262,-28.308187,0.661,1.133,-9,9.491,0.031,1.165,0.817,-8.301,0.8211,0.333,-999,24.63,23.14,3.33,12.72,26.19389,24.73878,57740.1211,9.9828,8.85064,8.40713,34.60962,riz,57730.6914,0.7844,1.71905,0.87071,0.26045,0.0595581,24.67478,0.0686808,2.42151E-06,1.53178E-07,0.0209877,-1.10259E-07,-5.00015E-09,90,85.04604,0.6279,1.040208,0.828,0.5364,0.0471,0.483,0.6907,0,43.44089,43.10149,0.28115,0.2999,0.2077,0.0039,0.3215,1.144,0.0179,0.0134,2.57,0.07673,300,0.0155,0.048,1,0.0347,3,16
SN:,1371126,1371126,10,1,C3,3,0,0.21648,0.001,0.21601,0.001,0.21601,0.00158,0,300,0,0,0.00801512,1,1,46483,-9,-9,0.2165,0.001,52.936153,-28.254185,0.65,0.743,-9,10.068,0.006,0.402,0.029,-9.652,0.0396232,1.154,-999,21.72,20.19,47.92,176.37,23.29871,21.88394,57615.3984,126.62688,47.94724,34.68419,222.18561,griz,57614.4297,0.558,-1.36527,0.30464,-0.109841,0.026225,20.78817,0.0384505,8.68427E-05,3.07547E-06,0.00333212,-2.50395E-07,-6.40453E-08,30,7.93207,0.99998,0.584093,0.9916,0.7625,0.9997,0.9993,0.9995,0,40.25572,40.14175,0.08934,0.0889,0.0595,0.011,0.1288,1.441,-0.0148,0.0196,1.04,0.00001232,789,-0.0088,0.006,1,0.0031,3,7
SN:,1644213,1644213,10,0,E1,3,0,0.54622,0.001,0.54509,0.001,0.54509,0.00184,0,300,0,0,0.00605872,1,1,112718,-9,-9,0.5462,0.001,7.963253,-43.70092,0.507,0.66,-9,10.458,0.037,0.487,6.423,-9.948,6.42367,1.294,-999,24.02,21.55,5.67,56.14,25.61604,23.12682,57747.0469,19.87679,14.48928,11.11877,40.60614,riz,57747.418,0.8076,-1.19383,0.93358,-0.0581256,0.0561261,23.03208,0.0497092,1.09943E-05,5.03363E-07,0.0149545,-2.33398E-07,-1.85932E-08,17,18.74119,0.34359,0.442605,0.9968,0.894,0.9992,0.9994,1,0,42.45335,42.47311,0.16166,0.1636,0.1992,0.0048,-0.0134,-0.083,-0.0064,0.011,0.16,0,13482,-0.0962,0.004,0.638,0,6,14
SN:,1643338,1643338,10,0,X3,3,0,0.56915,0.001,0.56788,0.001,0.56788,0.00186,0,300,0,0,0.0247864,2,3,-24571,-9,-9,0.5691,0.001,35.860397,-4.512859,1.964,2.081,2.83108,11.092,0.008,1.198,0.15,-9.885,0.16953,1.316,-999,23.35,20.94,5.21,34.7,25.7079,23.64918,57752.1133,33.6282,20.89861,16.5018,67.74051,riz,57750.7227,0.4479,-0.379922,0.41752,0.0299962,0.0353582,23.49083,0.0302439,7.20556E-06,2.00716E-07,0.00105793,-3.86291E-08,-1.4198E-09,17,15.34963,0.57031,0.161355,0.9994,1,0.9999,0.9986,0.9991,0,42.78176,42.57972,0.1756,0.1777,0.1368,0.0047,0.2084,1.187,-0.0064,0.011,1.72,0.00009485,8623,-0.1056,0.004,1,0.0109,2,14
SN:,1659122,1659122,10,0,C1,3,0,0.51927,0.001,0.51872,0.001,0.51872,0.00182,0,300,0,0,0.00966366,1,1,115745,-9,-9,0.5193,0.001,54.535236,-27.753998,1.064,1.39,-9,9.271,0.019,1.032,0.613,-8.252,0.6152,0.025,-999,23.86,22.79,5.38,14.21,25.67304,24.61852,57775.1641,18.03691,13.98673,10.99554,48.71107,riz,57766.9219,0.5324,0.34057,0.61329,0.1004,0.0444096,22.88091,0.047428,1.26368E-05,5.52009E-07,0.0120464,-2.335E-07,-1.85299E-08,25,23.57474,0.54404,0.353387,0.6909,0.9593,0.0042,0.6778,0.0719,0,42.09634,42.34376,0.1593,0.2907,0.1313,0.0051,-0.2436,-1.529,-0.0038,0.0132,2.6,0.6983,10363,-0.1631,0.005,1,0.0069,6,13
SN:,1292316,1292316,10,0,S2,3,0,0.64005,0.001,0.63883,0.001,0.63883,0.00192,0,300,0,0,0.0272226,1,1,32845,-9,-9,0.64,0.001,40.604237,-1.443256,0.25,0.279,-9,10.502,0.016,1.082,0.009,-9.414,0.0265707,0.34,-999,21.94,20.91,27.27,94.3,23.91079,22.56372,56959.1016,10.46401,8.7609,-99,25.08374,rz,56968.5312,0.841,-0.944205,0.81438,-0.179179,0.0678331,23.02993,0.0730181,1.10161E-05,7.40854E-07,0.024377,-4.34946E-07,-2.17072E-08,21,36.07856,0.0214251,0.675115,0.006,0.7765,0,0.0001,0,0,42.68064,42.8867,0.1306,134.0125,0.2146,0.0042,-0.2122,-1.625,0.0062,0.0107,1.98,1,1716,0.0971,0.008,0.36,0,5,15
SN:,1305873,1305873,10,0,C1+C3,3,0,0.60153,0.001,0.60092,0.001,0.60092,0.00189,0,300,0,0,0.00715875,1,1,22270,-9,-9,0.6015,0.001,53.600513,-27.665676,0.867,0.992,-9,9.232,0.035,1.09,0.341,-8.135,0.35049,0.073,-999,24.2,23.08,4.03,12.34,25.98674,24.77171,56980.3203,48.69038,33.37827,23.90837,104.15968,riz,56978.8359,0.4022,1.43555,0.31717,0.0132327,0.0276109,23.33093,0.0266698,8.34888E-06,2.0508E-07,0.00206958,-3.92227E-08,-3.62756E-09,88,78.38369,0.75876,0.480544,0.0909,0.9842,0.0012,0.9137,0.9988,0,42.82088,42.72611,0.17644,0.1811,0.0936,0.0045,0.0886,0.502,0.0062,0.0107,0.58,0.00005149,1664,0.0211,0.011,1,0.0211,3,15
SN:,1309694,1309694,10,0,E2,3,0,0.45456,0.001,0.45353,0.001,0.45353,0.00177,0,300,0,0,0.00734997,1,2,31084,-9,-9,0.4546,0.001,10.949876,-44.054417,0.634,0.554,-3.42178,10.287,0.016,1.652,0.02,-8.618,0.02,0.4,-999,21.92,20.59,38.24,138.3,23.5437,22.14795,56980.0469,15.55111,11.02353,8.60613,34.09472,riz,56975.9219,0.753,0.10504,0.67656,0.24184,0.0602233,23.19489,0.0631367,9.46338E-06,5.50305E-07,0.0129575,-1.9449E-07,-2.57068E-08,33,19.48528,0.97009,0.806886,0.9927,0.8213,0.9989,0.9981,0.9951,0,42.12919,41.99818,0.20376,0.203,0.1695,0.0057,0.1274,0.625,0.0036,0.013,1,0.0004967,5252,-0.3333,0.009,1,0.0115,6,12
SN:,1318661,1318661,10,0,C2,3,0,0.34498,0.001,0.34451,0.001,0.34451,0.00168,0,300,0,0,0.00962841,1,1,24335,-9,-9,0.345,0.001,55.129574,-28.489967,0.376,0.26,-9,10.793,0.023,0.616,10.616,-10.197,10.61636,1.494,-999,22.19,20.01,33.26,245.13,23.69519,21.52651,57004.043,20.59638,16.58727,10.98687,39.28108,griz,57007.3789,0.773,-2.85059,0.56481,-0.0322274,0.0472673,22.39754,0.0673322,1.97235E-05,1.22316E-06,0.0119992,-3.40196E-07,-3.51489E-08,50,52.93408,0.36157,0.956249,0.0982,0.8347,0.1343,0.9997,0.3458,0,41.44891,41.2978,0.16405,0.1724,0.1322,0.0072,0.1486,0.906,0.0025,0.0125,1.42,0.1005,583,-0.0871,0.019,1,0.0081,6,10
SN:,1296173,1296173,10,0,X3,3,0,0.65898,0.001,0.65763,0.001,0.65763,0.00194,0,300,0,0,0.0218574,1,1,38854,-9,-9,0.659,0.001,35.747978,-4.177239,0.272,0.353,-9,10.377,0.047,-1.875,8.125,-12.232,8.12599,1.367,-999,25.1,22.33,2.32,26.62,26.58628,23.93698,56924.2305,20.48525,17.6347,-99,42.37381,iz,56919.625,1.0136,-1.13217,0.57787,0.15672,0.097301,23.78814,0.0937161,5.47955E-06,4.72971E-07,0.00986844,-8.14685E-08,-4.17819E-08,22,14.5972,0.87894,0.644452,0.016,0.8825,0.7798,0.9967,0.4661,0,42.73804,42.96276,0.26382,0.2801,0.2368,0.0041,-0.2309,-0.875,0.0062,0.0107,2.17,0.06585,3923,-0.2899,0.009,1,0.0122,2,15
