catalog,model,chi2,dof,chi2_per_dof,DeltaM,N
Pantheon+,Model-A V_3,1493.2414700881302,1577,0.9468874255473242,0.02036801310686873,1578
Pantheon+,LCDM,1427.8772319675495,1577,0.9054389549572286,-0.1780111711801224,1578
Pantheon+,V_1 (reference),1432.8687986300588,1577,0.9086041842929986,-0.1758684103170664,1578
Union3,Model-A V_3,86.93993340192331,21,4.139996828663015,0.011951550805147128,22
Union3,LCDM,26.393090977022403,21,1.256813856048686,-0.15814085893494248,22
Union3,V_1 (reference),28.868493227592946,21,1.374690153694902,-0.168026605783313,22
