bin,z,mu,sigma_diag
bin00,0.05,36.6303610850046,0.09276014299777637
bin01,0.1,38.235499177289846,0.08870015302357832
bin02,0.15000000000000002,39.14769084871757,0.0923247545626749
bin03,0.2,39.83488010766378,0.09077071803825594
bin04,0.25,40.34031868616494,0.09164057261503711
bin05,0.3,40.81387463185208,0.0915400383273635
bin06,0.35000000000000003,41.20248722312743,0.09192285152888707
bin07,0.4,41.5689462747702,0.09269115095824776
bin08,0.45,41.82264967100102,0.09332381252881382
bin09,0.5,42.13631123119484,0.09360165221967451
bin10,0.55,42.35218102948099,0.09433967073374469
bin11,0.6000000000000001,42.59950483267475,0.09509598211851035
bin12,0.6500000000000001,42.79312120552585,0.09651437837706399
bin13,0.7000000000000001,42.94532246205921,0.09781656327217511
bin14,0.7500000000000001,43.12535120582757,0.09750828997767448
bin15,0.8,43.31965465632178,0.09814333305367834
bin16,0.8981381957937741,43.64759383089445,0.10474686718103095
bin17,0.9962763915875482,44.01125622572147,0.10506177802011389
bin18,1.0944145873813222,44.19109243795961,0.12275361610076453
bin19,1.2322444451875212,44.577984610209874,0.11778872055725789
bin20,1.3909612548337513,44.84235772630916,0.11192261759316872
bin21,2.2622599999999995,45.99715949878713,0.3398798440278776
