catalog,z_bin,n,z_mean,lcdm_residual_mean,stam_residual_mean,lcdm_rmse,stam_rmse,observed_distance_mly_mean,lcdm_distance_mly_mean,stam_distance_mly_mean,stam_improvement_rmse
DES,0.00-0.05,141,0.035110283687943264,0.0271285489865897,0.06686409182133056,0.12287782908648018,0.13741486063450498,511.4178591176435,504.1178978537257,494.7969355596169,-0.014537031548024798
DES,0.05-0.10,60,0.065285,0.01360093383184638,0.06954032423486621,0.1240310115733197,0.14152606901696202,965.571879794656,958.2735556255144,933.4656887082672,-0.017495057443642326
DES,0.10-0.20,44,0.16184068181818181,0.18893146348519724,0.2863812984033915,0.5988365510295516,0.6360761152015716,2872.2915441712876,2535.742425754589,2422.155283730615,-0.03723956417202001
DES,0.20-0.30,158,0.25510379746835443,0.08111357026973615,0.20677796390590159,0.41615027289992496,0.4584212311267216,4499.042008331311,4212.184273139038,3973.7585802400504,-0.04227095822679666
DES,0.30-0.40,282,0.3491218085106383,0.0568241063965229,0.2007712977605797,0.33385494234727336,0.3850508920505439,6272.472092773849,6043.620485963799,5655.142333277188,-0.051195949703270516
DES,0.40-0.50,273,0.45028336996336993,0.03522064882312719,0.18936430544742794,0.210820587169512,0.28117511553169733,8328.515464920145,8157.214141620633,7597.841883999505,-0.07035452836218534
DES,0.50-0.60,310,0.5501543548387097,0.012694753150193557,0.16915035669650694,0.20859486401106875,0.26826687516065817,10480.318236349516,10370.712119588701,9649.85880670943,-0.05967201114958942
DES,0.60-0.80,422,0.677720924170616,0.0236393678791373,0.17353709459859618,0.22045751183119827,0.2799749212527049,13573.403666331009,13369.246950283345,12480.31938975743,-0.05951740942150663
DES,0.80-1.00,113,0.8734717699115044,0.01751146333617078,0.1436460315505331,0.21356096714433087,0.25673063774224236,18490.649738520708,18247.42160032709,17223.393982012687,-0.04316967059791149
DES,1.00-1.20,17,1.0525488235294116,-0.05107112730581734,0.042344855017143974,0.17119594873367763,0.17003165115373747,22485.370524288355,22965.7688743047,22003.322605669506,0.00116429757994016
Pantheon,0.00-0.05,645,0.022779209302325583,-0.08213970454311934,-0.04960816333977909,0.2236003329726561,0.2134513033459294,313.04450310600515,325.1607815052287,319.81682762945707,0.010149029626726702
Pantheon,0.05-0.10,96,0.06729739583333334,-0.09396406564474209,-0.037015126573332426,0.17946896714043462,0.15832621361997992,951.7181895451387,989.3898425417307,963.267540815934,0.021142753520454693
Pantheon,0.10-0.20,207,0.1576061352657005,-0.0884581022739894,0.007469431611799704,0.16658945689941249,0.14177876964722316,2370.0644384099783,2462.8305692575527,2354.1912131527984,0.024810687252189323
Pantheon,0.20-0.30,259,0.24834876447876444,-0.10638959310536497,0.01759559561988168,0.18093767073082503,0.14763059030498005,3899.7200892580954,4085.834074350062,3857.4657079982007,0.03330708042584499
Pantheon,0.30-0.40,186,0.3406213978494624,-0.0949489777536234,0.04771272894278801,0.16440845031398896,0.14190565314992523,5627.030499726013,5872.658841733705,5498.341253200532,0.022502797164063726
Pantheon,0.40-0.50,98,0.4410735714285714,-0.10288640494298454,0.05070512943051773,0.17555597007204074,0.15096591973273094,7605.871846004168,7958.808658977903,7414.932940122451,0.024590050339309805
Pantheon,0.50-0.60,81,0.5458097530864198,-0.15242698802013527,0.004056204570116892,0.20685746219804485,0.13986918018048478,9596.519356999963,10272.211392564264,9558.066794151424,0.06698828201756007
Pantheon,0.60-0.80,99,0.6916232323232323,-0.15595845981574724,-0.0072889683132760326,0.2111701676004466,0.14317475095396662,12775.141304347113,13705.879737822332,12801.968231845487,0.06799541664647998
Pantheon,0.80-1.00,5,0.8889039999999999,-0.21495186176911432,-0.09130107462132316,0.29054918275505,0.21191381236828224,17015.575025823953,18645.604996547518,17619.557558690412,0.07863537038676774
Pantheon,1.00-1.20,6,1.0416933333333334,0.08568451913009056,0.18136878262234055,0.1916996156808455,0.24967958782439303,23658.194995351874,22672.137080727716,21698.406370550572,-0.057979972143547526
Pantheon,1.20-1.50,12,1.3229683333333333,-0.11195545896519654,-0.08112714437791387,0.2510894540991855,0.2458960616527174,29019.05475362095,30474.865073045108,30054.66051644806,0.005193392446468076
Pantheon,1.50-2.50,7,1.7683185714285714,-0.18898159058748934,-0.27962719273694503,0.22513685205042638,0.3161216773396029,40044.871062888866,43669.697282624606,45793.89444097526,-0.09098482528917651
