x_r_over_Rs,r_m,r_km,accumulation_A_Rs_over_r,transition_fraction,state,su_density_per_meter_toy,su_density_log10,escape_tendency_toy,effective_outward_speed_fraction_c_toy,cumulative_su_m_from_outer_radius_toy,cumulative_su_in_Rs_units_from_outer_radius_toy
0.2,5906.678764133758,5.9066787641337575,5.0,1.0,state-changed / trapped,3.484472049689441,0.5421369852243116,0.0,0.0,1178775.2181685704,39.91330035844411
0.20330055009168196,6004.155209816245,6.004155209816245,4.918825844539192,1.0,state-changed / trapped,3.494443739877627,0.5433780527773967,0.0,0.0,1178435.0782156282,39.90178322786956
0.20660110018336392,6101.6316554987325,6.101631655498733,4.84024527997418,1.0,state-changed / trapped,3.504495797486111,0.5446255435235333,0.0,0.0,1178093.9623408038,39.8902330526037
0.20990165027504584,6199.108101181219,6.19910810118122,4.764135959339263,1.0,state-changed / trapped,3.514629198034909,0.545879512644056,0.0,0.0,1177751.8626626215,39.87864956577995
0.2132022003667278,6296.584546863707,6.296584546863707,4.690383111806098,1.0,state-changed / trapped,3.5248449328963223,0.5471400160029447,0.0,0.0,1177408.771203743,39.867032497285834
0.21650275045840975,6394.060992546195,6.394060992546195,4.618878965198645,1.0,state-changed / trapped,3.535144009618249,0.5484071101579944,0.0,0.0,1177064.679889406,39.85538157371009
0.2198033005500917,6491.537438228682,6.491537438228682,4.549522220536932,1.0,state-changed / trapped,3.545527452255448,0.5496808523722119,0.0,0.0,1176719.5805458317,39.84369651828876
0.22310385064177363,6589.013883911169,6.589013883911169,4.4822175732217575,1.0,state-changed / trapped,3.5559963017089684,0.5509613006254476,0.0,0.0,1176373.4648985986,39.83197705085015
0.22640440073345558,6686.4903295936565,6.686490329593656,4.416875276100721,1.0,state-changed / trapped,3.5665516160739976,0.5522485136262674,0.0,0.0,1176026.3245709843,39.820222887758625
0.22970495082513753,6783.966775276144,6.783966775276144,4.353410740203193,1.0,state-changed / trapped,3.5771944709963592,0.55354255082407,0.0,0.0,1175678.1510822715,39.808433741857314
0.23300550091681949,6881.443220958631,6.881443220958631,4.291744169409071,1.0,state-changed / trapped,3.5879259600379196,0.5548434724214568,0.0,0.0,1175328.9358460193,39.79660932240953
0.23630605100850144,6978.919666641119,6.9789196666411195,4.231800225733634,1.0,state-changed / trapped,3.5987471950511605,0.5561513393868601,0.0,0.0,1174978.6701682995,39.78474933503907
0.2396066011001834,7076.396112323607,7.076396112323607,4.173507722276332,1.0,state-changed / trapped,3.609659306563191,0.5574662134674356,0.0,0.0,1174627.3452458936,39.77285348166918
0.24290715119186532,7173.872558006094,7.173872558006094,4.116799341202306,1.0,state-changed / trapped,3.620663444169472,0.5587881572022273,0.0,0.0,1174274.9521644542,39.76092146046027
0.24620770128354727,7271.349003688581,7.271349003688582,4.061611374407582,1.0,state-changed / trapped,3.6317607769375457,0.5601172339356106,0.0,0.0,1173921.4818966265,39.74895296574632
0.24950825137522922,7368.825449371068,7.3688254493710685,4.007883484767504,1.0,state-changed / trapped,3.6429524938210687,0.561453507831021,0.0,0.0,1173566.9253001302,39.73694768796994
0.25280880146691115,7466.301895053555,7.466301895053555,3.9555584860873005,1.0,state-changed / trapped,3.65423980408445,0.5627970438849753,0.0,0.0,1173211.2731157995,39.724905313616006
0.2561093515585931,7563.778340736043,7.563778340736043,3.9045821400676908,1.0,state-changed / trapped,3.665623937738419,0.5641479079413938,0.0,0.0,1172854.515965583,39.71282552514392
0.25940990165027505,7661.254786418531,7.661254786418531,3.8549029687700807,1.0,state-changed / trapped,3.6771061459868513,0.5655061667062302,0.0,0.0,1172496.6443504994,39.700708000918404
0.262710451741957,7758.731232101019,7.7587312321010184,3.8064720812182737,1.0,state-changed / trapped,3.688687701685192,0.5668718877624178,0.0,0.0,1172137.6486485489,39.68855241513878
0.26601100183363896,7856.2076777835055,7.856207677783505,3.7592430129088856,1.0,state-changed / trapped,3.70036989981083,0.5682451395851406,0.0,0.0,1171777.5191125805,39.67635843776675
0.2693115519253209,7953.684123465993,7.953684123465994,3.71317157712305,1.0,state-changed / trapped,3.7121540579457886,0.5696259915574354,0.0,0.0,1171416.2458681113,39.66412573445257
0.2726121020170028,8051.160569148479,8.051160569148479,3.668215727039257,1.0,state-changed / trapped,3.7240415167721084,0.5710145139861385,0.0,0.0,1171053.8189110996,39.65185396645962
0.27591265210868476,8148.637014830967,8.148637014830967,3.624335427742871,1.0,state-changed / trapped,3.736033640580318,0.5724107781181799,0.0,0.0,1170690.2281056682,39.63954279058735
0.2792132022003667,8246.113460513454,8.246113460513454,3.5814925373134328,1.0,state-changed / trapped,3.7481318177913936,0.5738148561572392,0.0,0.0,1170325.4631817774,39.62719185909245
0.28251375229204867,8343.589906195943,8.343589906195943,3.539650696247345,1.0,state-changed / trapped,3.7603374614926253,0.5752268212807704,0.0,0.0,1169959.513732847,39.614800819608384
0.2858143023837306,8441.06635187843,8.44106635187843,3.4987752245421673,1.0,state-changed / trapped,3.772652009987833,0.5766467476574065,0.0,0.0,1169592.3692133252,39.602369315063015
0.2891148524754126,8538.542797560916,8.538542797560916,3.458833025830258,1.0,state-changed / trapped,3.785076927362371,0.5780747104647525,0.0,0.0,1169224.0189362029,39.58989698359448
0.29241540256709453,8636.019243243405,8.636019243243405,3.4197924980047882,1.0,state-changed / trapped,3.7976137040633953,0.5795107859075792,0.0,0.0,1168854.4520704723,39.57738345846511
0.2957159526587765,8733.495688925892,8.733495688925892,3.3816234498308906,1.0,state-changed / trapped,3.810263857495872,0.5809550512364279,0.0,0.0,1168483.6576385282,39.56482836797345
0.29901650275045843,8830.97213460838,8.83097213460838,3.3442970230794957,1.0,state-changed / trapped,3.823028932634831,0.5824075847666366,0.0,0.0,1168111.6245135104,39.552231335364304
0.3023170528421404,8928.448580290868,8.928448580290867,3.307785619761799,1.0,state-changed / trapped,3.8359105026543823,0.5838684658977998,0.0,0.0,1167738.3414165857,39.53959197873664
0.30561760293382234,9025.925025973354,9.025925025973354,3.2720628340787603,1.0,state-changed / trapped,3.848910169574029,0.5853377751336747,0.0,0.0,1167363.7969141677,39.5269099109495
0.3089181530255043,9123.401471655843,9.123401471655843,3.237103388733002,1.0,state-changed / trapped,3.8620295649228438,0.5868155941025428,0.0,0.0,1166987.9794150724,39.514184739525675
0.3122187031171862,9220.877917338328,9.220877917338328,3.2028830752802993,1.0,state-changed / trapped,3.8752703504220762,0.5883020055780446,0.0,0.0,1166610.8771676088,39.5014160665532
0.31551925320886814,9318.354363020817,9.318354363020816,3.169378698224852,1.0,state-changed / trapped,3.888634218686801,0.5897970935004961,0.0,0.0,1166232.4782566014,39.4886034885845
0.3188198033005501,9415.830808703304,9.415830808703303,3.136568022587054,1.0,state-changed / trapped,3.902122893947219,0.5913009429987024,0.0,0.0,1165852.7706003438,39.47574659653331
0.32212035339223205,9513.30725438579,9.513307254385792,3.10442972469468,1.0,state-changed / trapped,3.915738132790268,0.592813640412283,0.0,0.0,1165471.7419474807,39.462844975569034
0.325420903483914,9610.78370006828,9.61078370006828,3.0729433459686506,1.0,state-changed / trapped,3.9294817249222036,0.5943352733145214,0.0,0.0,1165089.3798738169,39.44989820500871
0.3287214535755959,9708.260145750764,9.708260145750765,3.042089249492901,1.0,state-changed / trapped,3.9433554939528492,0.5958659305357561,0.0,0.0,1164705.6717790505,39.43690585820643
0.33202200366727785,9805.736591433253,9.805736591433254,3.0118485791746163,1.0,state-changed / trapped,3.957361298202241,0.5974057021873267,0.0,0.0,1164320.604883429,39.42386750244008
0.3353225537589598,9903.21303711574,9.90321303711574,2.9822032213163654,1.0,state-changed / trapped,3.971501031530405,0.5989546796860908,0.0,0.0,1163934.1662243248,39.410782698795416
0.33862310385064176,10000.689482798227,10.000689482798228,2.953135768435562,1.0,state-changed / trapped,3.985776624191062,0.6005129557795307,0.0,0.0,1163546.3426527306,39.397651002047354
0.3419236539423237,10098.165928480716,10.098165928480716,2.9246294851794072,1.0,state-changed / trapped,4.000190043710053,0.6020806245714632,0.0,0.0,1163157.1208296677,39.38447196053839
0.34522420403400567,10195.642374163202,10.195642374163203,2.896668276195075,1.0,state-changed / trapped,4.014743295789335,0.6036577815483732,0.0,0.0,1162766.4872225095,39.37124511605414
0.3485247541256876,10293.118819845691,10.293118819845692,2.8692366558255213,1.0,state-changed / trapped,4.029438425237409,0.6052445236063878,0.0,0.0,1162374.4281012146,39.35797000369572
0.35182530421736957,10390.595265528178,10.390595265528178,2.8423197195110395,1.0,state-changed / trapped,4.044277516927101,0.6068409490789091,0.0,0.0,1161980.9295344686,39.34464615174916
0.3551258543090515,10488.071711210665,10.488071711210665,2.81590311678558,1.0,state-changed / trapped,4.059262696781629,0.6084471577649273,0.0,0.0,1161585.9773857298,39.33127308155151
0.3584264044007335,10585.548156893154,10.585548156893154,2.789973025765045,1.0,state-changed / trapped,4.0743961327899285,0.6100632509580316,0.0,0.0,1161189.5573091796,39.31785030735368
0.36172695449241543,10683.02460257564,10.68302460257564,2.7645161290322577,1.0,state-changed / trapped,4.089680036052276,0.6116893314761419,0.0,0.0,1160791.6547455697,39.3043773361799
0.3650275045840974,10780.50104825813,10.78050104825813,2.7395195908302123,1.0,state-changed / trapped,4.105116661857247,0.6133255036919809,0.0,0.0,1160392.2549179683,39.2908536676836
0.36832805467577934,10877.977493940616,10.877977493940616,2.714971035481535,1.0,state-changed / trapped,4.1207083107911275,0.6149718735643116,0.0,0.0,1159991.3428273983,39.277278793999784
0.3716286047674613,10975.453939623103,10.975453939623103,2.6908585269579257,1.0,state-changed / trapped,4.136457329880913,0.616628548669959,0.0,0.0,1159588.9032483662,39.26365219959361
0.3749291548591432,11072.93038530559,11.07293038530559,2.6671705495287212,1.0,state-changed / trapped,4.152366113772093,0.6182956382366447,0.0,0.0,1159184.9207242776,39.24997336110516
0.37822970495082514,11170.406830988077,11.170406830988076,2.6438959894226532,1.0,state-changed / trapped,4.16843710594247,0.6199732531766559,0.0,0.0,1158779.379562737,39.23624174719031
0.3815302550425071,11267.883276670565,11.267883276670565,2.621024117441454,1.0,state-changed / trapped,4.184672799953283,0.6216615061213753,0.0,0.0,1158372.263830726,39.22245681835744
0.38483080513418905,11365.359722353052,11.365359722353052,2.5985445724681626,1.0,state-changed / trapped,4.201075740739012,0.6233605114566987,0.0,0.0,1157963.557349659,39.20861802680004
0.388131355225871,11462.83616803554,11.462836168035539,2.5764473458168697,1.0,state-changed / trapped,4.21764852593723,0.625070385359368,0.0,0.0,1157553.2436903107,39.19472481622493
0.3914319053175529,11560.312613718026,11.560312613718027,2.5547227663742444,1.0,state-changed / trapped,4.234393807259998,0.6267912458342465,0.0,0.0,1157141.3061676119,39.18077662167606
0.39473245540923485,11657.789059400513,11.657789059400514,2.533361486486487,1.0,state-changed / trapped,4.251314291908297,0.6285232127525695,0.0,0.0,1156727.7278353088,39.166772869353714
0.3980330055009168,11755.265505083002,11.755265505083003,2.512354468548455,0.9999999999999998,state-changed / trapped,4.268412744031088,0.6302664078911965,2.220446049250313e-16,4.337346637178759e-17,1156312.4914804846,39.15271297642892
0.40133355559259876,11852.741950765489,11.85274195076549,2.4916929722545276,0.9999999999999998,state-changed / trapped,4.285691986230656,0.6320209549728991,2.220446049250313e-16,4.395989991527426e-17,1155895.5796179338,39.138596350853064
0.4046341056842807,11950.218396447975,11.950218396447976,2.4713685424734284,0.9999999999999996,state-changed / trapped,4.303154901115964,0.6337869797077189,4.440892098500626e-16,8.908900380077377e-17,1155476.974484389,39.12442239116233
0.40793465577596266,12047.694842130464,12.047694842130465,2.4513729977116703,0.9999999999999993,state-changed / trapped,4.320804432905801,0.6355646098354266,6.661338147750939e-16,1.3538169034502433e-16,1155056.6580325936,39.11019048627704
0.4112352058676446,12145.171287812951,12.145171287812952,2.4316984191325495,0.9999999999999989,state-changed / trapped,4.338643589083599,0.6373539751691191,1.1102230246251565e-15,2.2854022283918793e-16,1154634.6119252157,39.0959000152956
0.41453575595932657,12242.64773349544,12.24264773349544,2.4123371400997264,0.999999999999998,state-changed / trapped,4.356675442105882,0.6391552076399918,1.9984014443252818e-15,4.165821666606374e-16,1154210.8175285978,39.0815503472828
0.4178363060510085,12340.124179177927,12.340124179177927,2.3932817362163887,0.9999999999999969,state-changed / trapped,4.374903131166379,0.6409684413433245,3.1086244689504383e-15,6.560929597563554e-16,1153785.2559063379,39.06714084105253
0.4211368561426905,12437.600624860414,12.437600624860414,2.3745250158328055,0.9999999999999953,state-changed / trapped,4.39332986401792,0.6427938125857182,4.6629367034256575e-15,9.962113782316005e-16,1153357.9078126946,39.05267084494445
0.4244374062343724,12535.077070542902,12.535077070542902,2.3560600109967793,0.9999999999999927,state-changed / trapped,4.411958918854358,0.6446314599336278,7.327471962526033e-15,1.5843774594504986e-15,1152928.7536858134,39.038139696594655
0.4277379563260544,12632.55351622539,12.63255351622539,2.3378799688230707,0.9999999999999887,state-changed / trapped,4.430793646254807,0.6464815242632289,1.1324274851176597e-14,2.477689961074226e-15,1152497.773640765,39.02354672269991
0.43103850641773633,12730.029961907876,12.730029961907876,2.319978343259339,0.9999999999999825,state-changed / trapped,4.44983747119265,0.6483441488116687,1.7541523789077473e-14,3.8829102431332796e-15,1152064.947462392,39.00889123877546
0.43433905650941823,12827.506407590363,12.827506407590363,2.30234878722751,0.9999999999999734,state-changed / trapped,4.46909389511181,0.6502194792297398,2.6645352591003757e-14,5.9660677191684585e-15,1151630.2545979554,38.994172548906086
0.4376396066011002,12924.98285327285,12.92498285327285,2.2849851451207437,0.9999999999999596,state-changed / trapped,4.488566498072973,0.6521076636360331,4.04121180963557e-14,9.151239627641681e-15,1151193.674149576,38.97938994549009
0.44094015669278214,13022.459298955338,13.022459298955338,2.267881445637381,0.9999999999999392,state-changed / trapped,4.5082589409724765,0.6540088526726129,6.084022174945858e-14,1.393116159765651e-14,1150755.1848664642,38.96454270897625
