z,D_geo_mly,SU_geo,D_adjusted_union_mly,D_excess_union_mly,avg_A_path_union,excess_fraction_union,geo_fraction_union,D_adjusted_original_mly,D_excess_original_mly,avg_A_path_original,excess_fraction_original,geo_fraction_original,D_adjusted_des_mly,D_excess_des_mly,avg_A_path_des,excess_fraction_des,geo_fraction_des,pred_avg_A_constant_avg_A,pred_D_adjusted_constant_avg_A_mly,pred_D_excess_constant_avg_A_mly,resid_D_adjusted_constant_avg_A_mly,resid_avg_A_constant_avg_A,pred_avg_A_linear_avg_A,pred_D_adjusted_linear_avg_A_mly,pred_D_excess_linear_avg_A_mly,resid_D_adjusted_linear_avg_A_mly,resid_avg_A_linear_avg_A,pred_avg_A_quadratic_avg_A,pred_D_adjusted_quadratic_avg_A_mly,pred_D_excess_quadratic_avg_A_mly,resid_D_adjusted_quadratic_avg_A_mly,resid_avg_A_quadratic_avg_A,pred_avg_A_power_1pz_avg_A,pred_D_adjusted_power_1pz_avg_A_mly,pred_D_excess_power_1pz_avg_A_mly,resid_D_adjusted_power_1pz_avg_A_mly,resid_avg_A_power_1pz_avg_A,pred_avg_A_integral_alpha_u_beta_u2,pred_D_adjusted_integral_alpha_u_beta_u2_mly,pred_D_excess_integral_alpha_u_beta_u2_mly,resid_D_adjusted_integral_alpha_u_beta_u2_mly,resid_avg_A_integral_alpha_u_beta_u2,pred_avg_A_integral_alpha_u_only,pred_D_adjusted_integral_alpha_u_only_mly,pred_D_excess_integral_alpha_u_only_mly,resid_D_adjusted_integral_alpha_u_only_mly,resid_avg_A_integral_alpha_u_only
0.001,13.389098489816325,4.105116259979067,13.748733971465512,0.3596354816491871,0.026860320873935157,0.026157716222859805,0.9738422837771402,13.855146663665513,0.4660481738491882,0.03480803238572499,0.03363718805455724,0.9663628119454427,14.729196763465513,1.340098273649188,0.10008876061883176,0.09098244087370636,0.9090175591262937,0.3744821940552235,18.403077468704222,5.013978978887897,4.65434349723871,0.34762187318128834,0.06325043118074639,14.23596474241869,0.8468662526023628,0.48723077095317713,0.03639011030681123,0.030308192367813094,13.794897862477272,0.40579937266094895,0.04616389101176033,0.0034478714938779367,0.00042878549592964213,13.394839541052333,0.0057410512360067155,-0.35389443041317925,-0.026431535378005515,0.0003761892503824702,13.394135324740505,0.005036834924181067,-0.35459864672500707,-0.026484131623552686,0.0002868764047256133,13.392939506253601,0.003841016437275646,-0.35579446521191116,-0.026573444469209544
0.0022501250625312657,30.13279463440751,9.238756836869992,30.95519941317716,0.8224047787696485,0.02729268190181654,0.02656758135499406,0.973432418645006,31.194641278867802,1.0618466444602923,0.035238903571453324,0.03403939269465552,0.9659606073053445,33.16136331433574,3.0285686799282274,0.10050739457368545,0.09132823193125386,0.9086717680687462,0.3744821940552235,41.4169896821159,11.28419504770839,10.461790268938739,0.34718951215340693,0.06356181863734917,32.04808986199621,1.9152952275886983,1.0928904488190518,0.03626913673553263,0.03071845597893193,31.058427559906754,0.9256329254992434,0.10322814672959524,0.00342577407711539,0.0009643997776042084,30.16185469485153,0.029060060444015885,-0.7933447183256277,-0.026328282124212333,0.0008463388324414736,30.158297188636595,0.025502554229083152,-0.7969022245405633,-0.02644634306937507,0.0006455077881219654,30.152245588021902,0.01945095361438982,-0.8029538251552566,-0.026647174113694574
0.0035002501250625314,46.88276723336637,14.374321783418768,48.18258636944774,1.2998191360813678,0.027724880863181835,0.026976948188600653,0.9730230518113994,48.55505740862903,1.6722901752626598,0.03566961324911926,0.03444111210062057,0.9655588878993794,51.6144513797649,4.731684146398528,0.10092587160748903,0.09167363054165008,0.9083263694583499,0.3744821940552235,64.43952877029776,17.55676153693138,16.256942400850015,0.34675731319204167,0.06387320609395195,49.87731988711796,2.9945526537515876,1.6947335176702225,0.036148325230770106,0.031128620614921124,48.342163107951485,1.459395874585117,0.15957673850374476,0.0034037397517392882,0.0014995469493049144,46.953070143946135,0.07030291057976695,-1.2295162255016052,-0.026225333913876922,0.0013163394877688933,46.94448087117153,0.06171363780515775,-1.2381054982762123,-0.02640854137541294,0.0010041391715183174,46.929844056414574,0.04707682304819862,-1.252742313033167,-0.026720741691663517
0.0047503751875937975,63.63901628669292,19.511811099625398,65.43089484027728,1.791878553584354,0.028156917849137784,0.027385817631846415,0.9726141823681536,65.93639505294921,2.297378766256287,0.03610016150951527,0.03484234715002863,0.9651576528499713,70.08846095975301,6.449444673060086,0.10134419180845636,0.09201863737261343,0.9079813626273866,0.3744821940552235,87.47069473324979,23.831678446556868,22.03979989297251,0.3463252762060857,0.06418459355055472,67.72366068101144,4.084644394318517,2.2927658407341625,0.03602767570141694,0.031538686275780665,65.64610725625823,2.0070909695653043,0.21521241598095742,0.003381768426642881,0.002034227999547488,63.76847255548697,0.12945626879404937,-1.6624222847903027,-0.026122689849590295,0.0017861912163647299,63.75268773860231,0.11367145190938288,-1.678207101674964,-0.026370726632773053,0.0013627705549146695,63.72574166423216,0.0867253775392402,-1.7051531760451155,-0.026794147294223115
0.006000500250125063,80.40154179438714,24.651224785489873,82.70012482566572,2.298583031278582,0.028588792950722332,0.02779419059069212,0.9722058094093079,83.33865421182831,2.9371124174411705,0.03653054844336594,0.03524309871834124,0.9647569012816588,88.58339205430005,8.181850259912906,0.10176235526473552,0.09236325309034878,0.9076367469096512,0.3744821940552235,110.51048757097199,30.108945776584846,27.810362745306264,0.3458934011045012,0.0644959810071575,85.58711810690411,5.185576312516973,2.8869932812383894,0.03590718805643517,0.03194865296151057,82.9702627507464,2.5687209563592623,0.27013792508067525,0.003359860010788234,0.0025684439135293708,80.60804864504732,0.20650685066017097,-2.092076180618406,-0.026020349037192962,0.002255894018228982,80.58291915157749,0.18137735719034545,-2.1172056740882397,-0.02633289893249335,0.0017214019383110216,80.5399451642752,0.13840336988805263,-2.1601796613905293,-0.026867391012411312
0.007250625312656329,97.17034375644906,29.792562841012206,99.99027632561314,2.819932569164081,0.029020506258906037,0.028202067968900468,0.9717979320310995,100.76183488526635,3.591491128817296,0.036960774141327805,0.03564336767891126,0.9643566323210887,107.09924466340604,9.928900906956983,0.10218036206440832,0.0927074783595511,0.9072925216404489,0.3744821940552235,133.55890728346438,36.38856352701533,33.56863095785124,0.3454616877963175,0.06480736846376028,103.46769802802349,6.297354271574442,3.4774217024103535,0.03578686220485425,0.03235852067211082,100.31463233360823,3.1442885771591715,0.32435600799509245,0.003338014413204783,0.0031021956731439784,97.47178517640823,0.30144141995916923,-2.5184911492049054,-0.025918310585762057,0.0027254478933616518,97.43517646513729,0.2648327086882416,-2.555099860475849,-0.026295058365544386,0.0020800333217073736,97.37246130934425,0.20211755289517408,-2.6178150162688922,-0.026940472937198662
0.008500750375187594,113.94542217287865,34.93582526619239,117.30134934011947,3.3559271672408215,0.029452057864590552,0.028609450668041252,0.9713905493319588,118.20593707326334,4.260514900384692,0.03739083869398995,0.03604315490298977,0.9639568450970102,125.63601878707095,11.690596614192302,0.10259821229549057,0.09305131384341006,0.90694868615659,0.3744821940552235,156.61595387072694,42.670531697848304,39.31460453060747,0.34503013619063294,0.06511875592036305,121.36540630759706,7.419984134718409,4.064056967477583,0.035666698055772494,0.03276828940758143,117.67921874330858,3.733796570429934,0.3778694031891092,0.0033162315429908808,0.0036354842569974997,114.35966896134508,0.41424678846643415,-2.941680378774393,-0.02581657360759305,0.0031948528417627374,114.30946102871351,0.36403885583487616,-2.9918883114059582,-0.026257205022827815,0.0024386647051037255,114.2232968522398,0.27787467936114263,-3.078052487879674,-0.027013393159486827
0.00975087543771886,130.72677704367595,40.08101206103043,134.63334386918476,3.906566825508804,0.02988344785860984,0.029016339587499093,0.970983660412501,135.67096077581928,4.94418373214333,0.037820742191873,0.03644246125973138,0.9635575387402686,144.19371442529481,13.466937381618862,0.1030159060459323,0.0933947602036144,0.9066052397963856,0.3744821940552235,179.68162733275975,48.954850289083794,45.04828346357499,0.3445987461966136,0.06543014337696583,139.2802488088523,8.553471765176363,4.646904939667536,0.035546695518355986,0.0331779591679224,135.06402471458514,4.337247670909176,0.43068084540038853,0.003294511309312558,0.004168310640421574,131.27168685941513,0.5449098157391732,-3.3616570097696297,-0.025715137218188265,0.00366410886343224,131.20577418612962,0.4789971424536633,-3.4275696830551396,-0.026219338995177602,0.002797296088500078,131.09245854576244,0.3656815020864965,-3.540885323422316,-0.027086151770109763
0.011001000500250126,147.5144083688409,45.22812322552631,151.98625991280898,4.471851543968086,0.03031467633173021,0.02942273562448003,0.9705772643755199,153.15690599293413,5.642497624093238,0.038250484725430314,0.03684128761620161,0.9631587123837984,162.77233157807763,15.257923209236736,0.10343344340361826,0.09373781810035639,0.9062621818996436,0.3744821940552235,202.75592766956265,55.241519300721755,50.76966775675368,0.3441675177234933,0.06574153083356861,157.2122313950167,9.697823026175785,5.2259714822077115,0.0354268545018384,0.03358752995313371,152.46905297844813,4.954644609607241,0.48279306563915725,0.0032728536214034973,0.0047006757954900875,148.20782577774636,0.6934174089054508,-3.7784341350626107,-0.025614000536240123,0.004133215958370158,148.12411727560053,0.6097089067596256,-3.86214263720845,-0.026181460373360055,0.0031559274718964297,147.97995314271267,0.46554477387177357,-4.006306770096302,-0.02715874885983378
0.012251125562781393,164.30831614837354,50.37715875968005,169.36009747099214,5.051781322618609,0.030745743374649123,0.029828639674016923,0.9701713603259831,170.66377272460795,6.355456576234417,0.038680066385047236,0.037239634837382365,0.9627603651626176,181.3718702454194,17.063554097045852,0.10385082445636615,0.09408048819233476,0.9059195118076653,0.3744821940552235,225.83885488113575,61.53053873276223,56.4787574101436,0.34373645068057435,0.06605291829017139,175.1613599293177,10.853043780944166,5.801262458325567,0.035307174915522266,0.03399700176321538,169.89430626218075,5.585990113807205,0.534208791188604,0.0032512583885662555,0.00523258069103407,165.16807267082783,0.8597565224543008,-4.192024800164319,-0.025513162683615052,0.004602174126576494,165.06449162973294,0.7561754813593954,-4.295605841259203,-0.02614356924807263,0.003514558855292782,164.88578739589104,0.5774712475175122,-4.474310075101101,-0.02723118451935634
