location,x_m,y_m,x_earth_moon_units,y_earth_moon_units,A_earth,A_moon,A_total,A_moon_fraction,toy_SU_density
Earth surface toward Moon,6371000.0,0.0,0.0165738813735692,0.0,1.3922622621010988e-09,2.8845865632461654e-13,1.3925507207574235e-09,0.00020714409322751328,140.25507207574233
Moon surface toward Earth,382662600.0,0.0,0.9954802289281998,0.0,2.3179957675106215e-11,6.27637489304354e-11,8.594370660554162e-11,0.730289062566315,9.594370660554162
Midpoint,192200000.0,0.0,0.5,0.0,4.6150379145921435e-11,5.673555535470264e-13,4.671773469946846e-11,0.012144329283018116,5.671773469946846
Toy gradient balance,346033024.3044698,0.0,0.9001899695745833,0.0,2.563368883555292e-11,2.8421770393657194e-12,2.847586587491864e-11,0.09981003042541688,3.8475865874918638
1/4 distance from Earth,96100000.0,0.0,0.25,0.0,9.230075829184287e-11,3.782370356980176e-13,9.267899532754088e-11,0.004081151660754128,10.267899532754088
3/4 distance from Earth,288300000.0,0.0,0.75,0.0,3.076691943061429e-11,1.1347111070940527e-12,3.190163053770834e-11,0.035569063021803925,4.190163053770834
Above Earth by 1 Earth radius,0.0,12742000.0,0.0,0.0331477627471384,6.961311310505494e-10,2.835220561805041e-13,6.964146531067299e-10,0.00040711672983286955,70.641465310673
Above Moon by 1 Moon radius,384400000.0,3474800.0,1.0,0.009039542143600416,2.3074246855534948e-11,3.13818744652177e-11,5.445612132075265e-11,0.5762781796443956,6.445612132075265
