sample,n,z_min,z_max,rmse_lcdm_mu,rmse_stam_adjusted_union_mu,rmse_stam_adjusted_des_mu,rmse_stam_unadjusted_mu,mean_obs_distance_mly
DES all,1820,0.02509,1.14418,0.14674465298415154,0.19684490316043946,0.1498958808361545,0.48685646450611814,7395.572953146669
DES z<1,1803,0.02509,0.99268,0.14640106750610166,0.1970384263973915,0.1495860322137466,0.48490015472821374,7273.975149945263
Pantheon all,1701,0.00122,2.26137,0.17533019188990967,0.1423105381567775,0.19775650637733633,0.2837155120790765,3621.5457186764415
Pantheon z<1,1676,0.00122,0.97423,0.1752753558760858,0.14154119122255174,0.19734357564798158,0.27798203138712846,3436.4848743757993
Union3 all,22,0.05,2.26226,0.15373695004029364,0.11590253468575372,0.18027389194154855,0.43640364871106335,13079.709248435409
Union3 z<1,18,0.05,0.996276,0.14663262205077107,0.02942912415801345,0.12739511702719952,0.38450303087289767,8692.785900735436
