z,D_geo_mly,D_adjusted_union_mly,D_excess_union_mly,avg_A_path_union,excess_fraction_union,best_path_model,best_pred_avg_A,best_pred_D_adjusted_mly,best_resid_D_adjusted_mly,best_resid_avg_A
0.00975087543771886,130.72677704367595,134.63334386918476,3.906566825508804,0.02988344785860984,0.029016339587499093,quadratic_avg_A,0.0331779591679224,135.06402471458514,0.43068084540038853,0.003294511309312558
0.04975487743871936,671.0441008153248,700.3037284863939,29.259627671069097,0.04360313671712244,0.041781339268762124,quadratic_avg_A,0.046235132630380274,702.0699138173555,1.7661853309616617,0.0026319959132578355
0.09975987993996999,1355.4788498193475,1437.5186902227779,82.03984040343039,0.060524618598338374,0.057070451300161085,quadratic_avg_A,0.062414075271762806,1440.0798087812548,2.561118558476892,0.001889456673424432
0.2997798899449725,4193.641115718349,4721.122770111346,527.4816543929965,0.12578130551418001,0.1117280104919949,quadratic_avg_A,0.1255462437629617,4720.137005486704,-0.9857646246418881,-0.0002350617512183184
0.49979989994997503,7192.480613430004,8540.317622708764,1347.83700927876,0.18739529262853213,0.15782047797553242,quadratic_avg_A,0.18614464893523053,8531.322392190385,-8.995230518379685,-0.0012506436933016063
0.7498249124562282,11166.982342806119,14067.485712577356,2900.503369771237,0.25973922772787134,0.20618491669609273,quadratic_avg_A,0.2583295507333212,14051.743874470154,-15.741838107202057,-0.0014096769945501353
0.9998499249624813,15392.542246889509,20431.514384803522,5038.972137914014,0.327364515691505,0.2466274424406779,quadratic_avg_A,0.3265554473455837,20419.060766108305,-12.453618695217301,-0.00080906834592126
1.4998999499749874,24596.836579178103,35670.153476328596,11073.316897150493,0.4501927254549619,0.3104364803055574,quadratic_avg_A,0.4511302250126241,35693.21299974147,23.059523412870476,0.0009374995576622025
1.9999499749874938,34805.3636102958,54256.23489728398,19450.871286988186,0.5588469497050279,0.35850020414818495,quadratic_avg_A,0.5598689819363518,54291.80710071665,35.572203432668175,0.0010220322313239105
2.5,46018.12334024258,76189.75864766967,30171.635307427096,0.655646799943321,0.39600644289939513,quadratic_avg_A,0.6527717181167669,76057.45277756202,-132.30587010765157,-0.002875081826554049
