catalog,cid,z,mu_obs,muerr,weight,stam_mu_union,stam_mu_original,stam_mu_des,lcdm_mu,z_bin,mu_corrected_catalog_linear_z,raw_resid_to_stam_union,corrected_resid_to_stam_union,corrected_resid_to_lcdm
DES,1296321,0.18444,40.03362,0.1941,26.542934124949802,39.639212042086164,39.65458637341751,39.776910677518416,39.760465224687145,0.15-0.20,39.65840891667406,0.39440795791383465,0.019196874587898094,-0.10205630801308274
DES,1315259,0.22806,40.23671,0.1527,42.88663047892787,40.14210809651208,40.15718945153957,40.27725384673372,40.27629531619891,0.20-0.25,39.892441458502375,0.09460190348791997,-0.2496666380097068,-0.38385385769653624
DES,1302648,0.23171,40.15341,0.1707,34.31886827354472,40.18005820726075,40.19511555230657,40.314994625701715,40.31522002797135,0.20-0.25,39.811730644143665,-0.02664820726074879,-0.36832756311708437,-0.5034893838276844
DES,1291149,0.23057,42.30845,238.612,1.7563676855414718e-05,40.16826456431811,40.183329400157916,40.30326629339958,40.30312371798187,0.20-0.25,41.965961966984466,2.140185435681893,1.7976974026663584,1.662838249002597
DES,1550021,0.20587,39.94322,0.1771,31.883271516983736,39.898600730986715,39.91382971746397,40.03503321816631,40.02651042274554,0.20-0.25,39.58321062853515,0.04461926901328184,-0.3153901024515662,-0.44329979421038956
DES,1315197,0.20823,39.99434,0.104,92.45562130177515,39.92561938049553,39.94083252853553,40.061913854187075,40.05422595751867,0.20-0.25,39.63600473212788,0.06872061950446806,-0.28961464836765316,-0.41822122539078777
DES,1315192,0.22714,40.14119,0.1618,38.198205906664974,40.132454637185944,40.14754205613174,40.26765325304456,40.2663936575902,0.20-0.25,39.79626884184758,0.008735362814057623,-0.33618579533836623,-0.4701248157426221
DES,1282114,0.21781,40.26232,0.1452,47.43148995590769,40.032472140745895,40.047621332345756,40.16820922973476,40.16383561209994,0.20-0.25,39.91078045772887,0.22984785925410733,-0.12169168301702626,-0.2530551543710686
DES,1879256,0.24936,40.35571,0.2089,22.91517192909771,40.35617880284061,40.37112111524138,40.490112057631706,40.49582921072111,0.20-0.25,40.026550952792675,-0.000468802840607907,-0.3296278500479346,-0.4692782579284369
DES,1336687,0.2338,40.15655,0.22,20.66115702479339,40.20154233525149,40.2165859665052,40.33635918154776,40.33725498296961,0.20-0.25,39.81635321893553,-0.04499233525148583,-0.3851891163159564,-0.520901764034079
DES,1295062,0.21839,40.05123,0.2672,14.006418301122306,40.038801356953144,40.05394669371083,40.17450484668426,40.17032806209224,0.20-0.25,39.700101889967755,0.012428643046852983,-0.3386994669853891,-0.4702261721244838
DES,1782065,0.20173,39.82988,0.1012,97.64251902076272,39.850504430235624,39.865761280906284,39.98717970248144,39.977174493225824,0.20-0.25,39.466933853588586,-0.020624430235621105,-0.3835705766470383,-0.5102406396372388
DES,1927242,0.24576,40.75279,0.1332,56.36266897528158,40.321202890909234,40.33616852314928,40.455339543870984,40.45996757539781,0.20-0.25,40.42107723544783,0.4315871090907635,0.09987434453859834,-0.03889033994997959
DES,1344355,0.24448,40.34132,0.2067,23.405560552642736,40.308654138498824,40.323628079788236,40.442863259815965,40.44710025209874,0.20-0.25,40.00869924705856,0.03266586150117945,-0.2999548914402652,-0.4384010050401841
DES,1262746,0.23079,40.29796,0.1226,66.53023533074841,40.170544690038184,40.18560807970585,40.30553381038761,40.30546237519197,0.20-0.25,39.95562802748888,0.12741530996181893,-0.21491666254930664,-0.3498343477030943
DES,1259246,0.22284,40.09276,0.1782,31.49086575947781,40.08685339499941,40.1019692209532,40.22229964984397,40.219618674715775,0.20-0.25,39.74478856835235,0.005906605000589593,-0.3420648266470607,-0.47483010636342726
DES,1302187,0.21942,39.96014,0.1979,25.533386051264404,40.05000312412383,40.06514162004673,40.18564698720137,40.18181868345169,0.20-0.25,39.609742536874755,-0.08986312412383057,-0.44026058724907813,-0.5720761465769328
DES,1275946,0.23212,40.32782,0.1157,74.70218107958098,40.18428676988256,40.19934142269194,40.319199714861455,40.31955706163925,0.20-0.25,39.98643148417461,0.14353323011744124,-0.19785528570795208,-0.3331255774646422
DES,1305756,0.27589,40.66582,0.6008,2.7703851588915622,40.60060306717007,40.615375741110036,40.73305620900493,40.746324082924794,0.25-0.28,40.35548043089228,0.06521693282992658,-0.24512263627779163,-0.39084365203251537
DES,1261784,0.26523,40.9081,0.2072,23.292735647948003,40.5050743488533,40.519914720073174,40.63811826350351,40.64845148975988,0.25-0.28,40.59019859008784,0.40302565114669875,0.08512424123453854,-0.05825289967204128
DES,1560034,0.26891,40.7573,0.1768,31.991564464282053,40.53844014462802,40.55325707566557,40.67127952030444,40.682640709942625,0.25-0.28,40.442009056707015,0.21885985537198138,-0.09643108792100463,-0.2406316532356101
DES,1792093,0.27659,40.82561,0.081,152.41579027587258,40.60675822133932,40.62152647147076,40.73917275303809,40.752628752148695,0.25-0.28,40.51576698704267,0.21885177866067806,-0.09099123429665212,-0.23686176510602763
DES,1262726,0.25378,40.35512,0.1134,77.76315830401661,40.39849649950828,40.41341027953036,40.532180868846964,40.53921381525542,0.25-0.28,40.029096350199396,-0.04337649950828393,-0.36940014930888765,-0.5101174650560267
DES,1278493,0.27237,40.69293,0.1247,64.30830946959149,40.56943511176928,40.58423007137907,40.70208274933069,40.71439610568644,0.25-0.28,40.38009346282177,0.12349488823071653,-0.1893416489475115,-0.33430264286467093
