catalog,cid,z,mu_obs,muerr,weight,D_geo_mly,observed_distance_mly,observed_avg_A_required,pred_avg_A_constant_avg_A,pred_distance_mly_constant_avg_A,pred_mu_constant_avg_A,resid_mu_constant_avg_A,resid_avg_A_constant_avg_A,pred_avg_A_linear_avg_A,pred_distance_mly_linear_avg_A,pred_mu_linear_avg_A,resid_mu_linear_avg_A,resid_avg_A_linear_avg_A,pred_avg_A_quadratic_avg_A,pred_distance_mly_quadratic_avg_A,pred_mu_quadratic_avg_A,resid_mu_quadratic_avg_A,resid_avg_A_quadratic_avg_A,pred_avg_A_power_1pz_avg_A,pred_distance_mly_power_1pz_avg_A,pred_mu_power_1pz_avg_A,resid_mu_power_1pz_avg_A,resid_avg_A_power_1pz_avg_A,pred_avg_A_integral_alpha_u_beta_u2,pred_distance_mly_integral_alpha_u_beta_u2,pred_mu_integral_alpha_u_beta_u2,resid_mu_integral_alpha_u_beta_u2,resid_avg_A_integral_alpha_u_beta_u2,pred_avg_A_integral_alpha_u_only,pred_distance_mly_integral_alpha_u_only,pred_mu_integral_alpha_u_only,resid_mu_integral_alpha_u_only,resid_avg_A_integral_alpha_u_only
DES,2004ef,0.03012,35.5473,0.1369,53.357208905745026,405.04090782004164,419.6486932094469,0.03606496308737152,0.3744821940552235,556.7215156626104,36.16106065396311,-0.6137606539631122,-0.338417230967852,0.07050378767126642,433.59782598316286,35.61830610486227,-0.07100610486227055,-0.0344388245838949,0.03983903835977411,421.17734808396204,35.555195653507084,-0.007895653507084432,-0.0037740752724025883,0.012785713428472848,410.2196447942371,35.49795289589174,0.049347104108257156,0.02327924965889867,0.01128902928757599,409.6134264910885,35.49474154322628,0.052558456773716955,0.02477593379979553,0.008640717310335473,408.5407518036363,35.48904754352638,0.05825245647361754,0.027424245777036046
DES,2007nq,0.04349,36.36083,0.0883,128.2562662805298,586.0025741020835,610.3681664517406,0.04157932648502769,0.3744821940552235,805.4501037738404,36.96306383375449,-0.6022338337544895,-0.33290286757019577,0.07383405471378883,629.2695202207578,36.42705410692032,-0.06622410692032332,-0.03225472822876114,0.04419699065714349,611.9021243947353,36.366280429621526,-0.005450429621525643,-0.0026176641721157995,0.018377454016335833,596.7718094610989,36.31191212261964,0.048917877380361574,0.023201872468691858,0.016272424043581188,595.5382564785027,36.30741895041617,0.05341104958382914,0.025306902441446504,0.012476254841516923,593.313691554366,36.29929247680138,0.06153752319862349,0.029103071643510767
DES,2006az,0.03201,35.60595,0.0962,108.05624111237418,430.5783069952985,431.1375754127502,0.0012988773664759654,0.3744821940552235,591.8222161114815,36.29382694417757,-0.6878769441775674,-0.3731833166887475,0.07097455840502613,461.1384121930735,35.752027124017054,-0.14607712401705442,-0.06967568103855017,0.04045577102962274,447.99768439342284,35.689249470864155,-0.08329947086415501,-0.03915689366314678,0.013579238027823194,436.4252323156048,35.63241988356507,-0.026469883565070518,-0.012280360661347228,0.01199452203905277,435.7428879880916,35.62902216207355,-0.023072162073546565,-0.010695644672576804,0.009182913715266881,434.53227043610195,35.62298079852813,-0.017030798528132607,-0.007884036348790917
DES,2007is,0.02866,35.58174,0.1241,64.9316496989444,385.3234261923323,426.35746863252314,0.1064924674984824,0.3744821940552235,529.6201882537129,36.05269328143814,-0.47095328143813475,-0.2679897265567411,0.07014012350656315,412.35005889543453,35.509200929376746,0.07253907062325737,0.03635234399191925,0.03936246565319311,400.4907063211986,35.445832836818,0.13590716318200435,0.06713000184528929,0.012172028688858512,390.01359399043463,35.388269348225634,0.19347065177436917,0.09432043880962389,0.010743812427402705,389.4632688072268,35.38520314778483,0.19653685221517492,0.0957486550710797,0.008221877759436079,388.4915083003327,35.379778276599595,0.20196172340040874,0.09827058973904632
DES,2008gb,0.03796,36.20641,0.1163,73.93338158718704,511.06749506653415,568.4704248188903,0.11231966483190838,0.3744821940552235,702.4531719293569,36.66595751423331,-0.4595475142333143,-0.2621625292233151,0.07245661441871412,548.0977154985081,36.127160584295495,0.07924941570450272,0.039863050413194254,0.04239585970030887,532.7346408847633,36.06542531248569,0.1409846875143117,0.06992380513159951,0.016070752616202475,519.2807343499308,36.009881676175524,0.19652832382447372,0.0962489122157059,0.014213295099982629,518.3314481899238,36.00590842043509,0.20050157956490722,0.09810636973192574,0.010889828323384282,516.6329323494707,35.998781057087584,0.20762894291241452,0.1014298365085241
DES,2007ux,0.03264,35.67592,0.1568,40.673157017909205,439.093961388765,445.25609697703055,0.014033751611559276,0.3744821940552235,603.5268314460293,36.33635353782644,-0.6604335378264423,-0.3604484424436642,0.07113148198294603,470.32736559211037,35.794871867387776,-0.11895186738777852,-0.057097730371386754,0.04066129831376592,456.9480919405668,35.73220496573626,-0.05628496573626052,-0.026627546702206645,0.01384352032197574,445.1725675665072,35.67551259664903,0.0004074033509695596,0.00019023128958353674,0.01222961064513694,444.4639095731804,35.672053135070485,0.0038668649295132695,0.0018041409664223355,0.00936364585024402,443.20548173819014,35.66589624111764,0.010023758882354628,0.004670105761315256
DES,2002hd,0.03134,36.00315,0.1791,31.175169850119133,421.5237251557699,517.673430010627,0.22810033959375825,0.3744821940552235,579.3768545984336,36.24767633311868,-0.2445263331186851,-0.14638185446146523,0.07080767142533353,451.3708385845823,35.705538112099674,0.2976118879003238,0.15729266816842472,0.040237166813276465,438.48464560061626,35.642642576210974,0.36050742378902356,0.18786317278048179,0.01329805205062106,427.12916959346296,35.58566678157263,0.4174832184273711,0.21480228754313718,0.0117444656717109,426.4742960756736,35.582334929930056,0.420815070069942,0.21635587392204736,0.008990706524100722,425.3135212615912,35.576416573288974,0.4267334267110243,0.21910963306965753
DES,2006is,0.03071,35.72373,0.1121,79.57722213424518,413.0113599704212,455.1681604663306,0.10207176988770615,0.3744821940552235,567.6767602218762,36.203376201073496,-0.47964620107349276,-0.2724104241675173,0.07065074784741363,442.1909214218088,35.66091973411761,0.06281026588239058,0.031421022040292526,0.040031587660708724,429.54486043194566,35.597913259755586,0.12581674024441725,0.06204018222699743,0.013033536711921723,418.3943586930364,35.54079972576597,0.18293027423403174,0.08903823317578442,0.011509299019808858,417.7648312108987,35.53753000910607,0.18619999089393247,0.09056247086789729,0.008809974389123586,416.64997947417777,35.531727448565405,0.192002551434598,0.09326179549858257
DES,2004gu,0.04664,36.54971,0.1315,57.829374430742085,628.7420172671842,665.8369236256893,0.058998612053537396,0.3744821940552235,864.1947073881065,37.11592863583971,-0.5662186358397108,-0.3154835820016861,0.07461867260338835,675.6579120056382,36.58150495849442,-0.03179495849442304,-0.015620060549850955,0.04522208552505586,657.1750425452369,36.52127593437599,0.028434065624004745,0.013776526528481534,0.019687577398923746,641.1204243960874,36.467568687603844,0.08214131239615341,0.03931103465461365,0.017444042828926226,639.7098199447385,36.46278571203188,0.08692428796811669,0.04155456922461117,0.013379915516402606,637.1545323398316,36.45409450856947,0.09561549143052872,0.04561869653713479
DES,2005eq,0.02823,35.63531,0.1201,69.32884821904588,379.5178546524982,437.0064782383621,0.15147804742547033,0.3744821940552235,521.6405335458971,36.019727276957546,-0.38441727695754935,-0.22300414662975315,0.0700330169375067,406.09663499546286,35.476017578967095,0.15929242103290164,0.08144503048796363,0.0392220794637968,394.40333410560817,35.41257351279153,0.22273648720846495,0.11225596796167353,0.011991169786475114,384.06871768463515,35.35491530179478,0.2803946982052139,0.13948687763899523,0.010583196136262792,383.53436654549927,35.35189204936942,0.28341795063057873,0.14089485128920753,0.008098520905404064,382.5913879323756,35.34654657426109,0.2887634257389067,0.14337952652006627
