z,lcdm_distance_mly,lcdm_mu,stam_unadjusted_su,stam_unadjusted_distance_mly,stam_unadjusted_mu_equiv,stam_adjusted_union_distance_mly,stam_adjusted_union_mu,stam_adjusted_union_excess_mly,stam_adjusted_union_excess_fraction,stam_adjusted_union_flattening_ratio,stam_adjusted_original_distance_mly,stam_adjusted_original_mu,stam_adjusted_original_excess_mly,stam_adjusted_original_excess_fraction,stam_adjusted_original_flattening_ratio,stam_adjusted_des_distance_mly,stam_adjusted_des_mu,stam_adjusted_des_excess_mly,stam_adjusted_des_excess_fraction,stam_adjusted_des_flattening_ratio,unadjusted_over_lcdm_distance,adjusted_union_over_lcdm_distance,union_excess_per_unadjusted,des_excess_per_unadjusted,cosmic_traversal_index_union,cosmic_traversal_index_des
0.001,13.979282037715693,28.160294959940444,4.105116259979067,13.389098489816325,28.066627305879486,13.748733971465512,28.1241841684653,0.3596354816491871,0.026157716222859805,0.9738422837771402,13.855146663665513,28.140926261568083,0.4660481738491882,0.03363718805455724,0.9663628119454427,14.729196763465513,28.273765943906042,1.340098273649188,0.09098244087370636,0.9090175591262937,0.9577815551394506,0.9835078750376329,0.026860320873935157,0.10008876061883176,0.026860320873935157,0.10008876061883176
0.003084236864053378,43.18490632202302,30.609530533984035,12.665108632209725,41.308059533920144,30.513044596044168,42.447380132814345,30.572125077729503,1.1393205988942015,0.026840775457268776,0.9731592245427312,42.77558208090075,30.588850264927565,1.4675225469806037,0.034307482811224,0.965692517188776,45.47135961973345,30.721560324999118,4.1633000858133045,0.0915587332472578,0.9084412667527422,0.9565392877292005,0.982921667498615,0.027581072840244348,0.10078662935969208,0.027581072840244348,0.10078662935969208
0.005168473728106756,72.48427665357625,31.734089671162202,21.230450042926822,69.24446680818777,31.63479600217435,71.20418039470918,31.6953980837213,1.959713586521417,0.027522451289489644,0.9724775487105104,71.75417159868199,31.712106399123005,2.509704790494226,0.03497643042318009,0.9650235695768199,76.27167657654738,31.84468708972561,7.0272097683596115,0.09213393600056766,0.9078660639994324,0.9553032741035344,0.9823396698157724,0.028301374490325226,0.10148406208145838,0.028301374490325226,0.10148406208145838
0.007252710592160134,101.87718542075356,32.47325531536177,29.801140492130358,97.19832031261919,32.37116442440158,100.01913475715003,32.433286090956514,2.820814444530839,0.02820274791798465,0.9717972520820154,100.79091521700924,32.44997756856711,3.5925949043900545,0.035644034947544326,0.9643559650524557,107.13014763390733,32.582429141759185,9.93182732128814,0.09270805222100391,0.9072919477789961,0.9540734749511324,0.9817618571230666,0.02902122624607346,0.10218105919263193,0.02902122624607346,0.10218105919263193
0.009336947456213513,131.3634250761952,33.025242941769164,38.37717997982034,125.16962004721444,32.92036529438926,128.8922432201369,32.98400453546927,3.7226231729224537,0.028881669524243852,0.9711183304757561,129.8858129358825,33.00067920919129,4.7161928886680755,0.036310300425160376,0.9636896995748396,138.04677279181328,33.13300191629509,12.877152744598845,0.09328108498428087,0.9067189150157191,0.9528498512779479,0.9811882047485825,0.029740628528857616,0.1028776211012028,0.029740628528857616,0.1028776211012028
0.01142118432026689,160.94278814056278,33.4662282281651,46.95856850599675,153.15836601197344,33.35857424662557,157.82350578366973,33.423729056104904,4.665139771696289,0.029559220272871414,0.9704407797271286,159.03886475530174,33.440386959738596,5.880498743328303,0.03697523088067862,0.9630247691193213,169.02155205026523,33.57258105134309,15.863186038291786,0.09385303735451585,0.9061469626454841,0.9516323644039852,0.9806186882125544,0.03045958175952062,0.10357374821465287,0.03045958175952062,0.10357374821465287
0.013505421184320267,190.61506720627955,33.8336567575009,55.5453060706596,181.16455820689626,33.72323682099797,186.81292244774855,33.789905197094576,5.648364240852288,0.030235404311669777,0.9697645956883302,188.25007067526698,33.80654636433833,7.085512468370723,0.0376388303226366,0.9623611696773634,200.05448540926315,33.938612090302016,18.88992720236689,0.09442391238428204,0.905576087615718,0.950420975960121,0.980053283225421,0.03117808635837954,0.10426944093995434,0.03117808635837954,0.10426944093995434
0.015589658048373648,220.38005494125198,34.14873205973013,64.1373926738089,209.18819663198292,34.03555650462307,215.86049321237348,34.10373644988523,6.672296580390565,0.030910225771725874,0.9690897742282741,217.5194306957783,34.12036091433593,8.331234063795392,0.03830110274354027,0.9616988972564597,231.14557286880716,34.252298523789726,21.957376236824246,0.0949937131146645,0.9050062868853355,0.9492156478849569,0.9794919656858997,0.03189614274522807,0.10496469968357272,0.03189614274522807,0.10496469968357272
0.017673894912427025,250.2375440925711,34.42463297024447,72.73482831544463,237.2292812872333,34.308712090280785,244.9662180775443,34.378401611573715,7.736936790311006,0.031583688767493116,0.9684163112325069,246.84694481683556,34.39500940672721,9.617663529602254,0.03896205211994305,0.9610379478800569,262.29481442889715,34.52681914807722,25.06553314166385,0.09556244257531295,0.904437557424687,0.9480163424217206,0.9789347116790885,0.03261375133933509,0.10565952485146601,0.03261375133933509,0.10565952485146601
0.019758131776480403,280.18732749019557,34.6701130688184,81.33761299556681,265.2878121726476,34.551457115357294,274.1300970432612,34.622654223849835,8.842284870613582,0.03225579739687671,0.9677442026031233,276.23261303843884,34.6392453831013,10.944800865791251,0.03962168241252614,0.9603783175874738,293.5022100895331,34.770927504031675,28.214397916885503,0.0961301037844951,0.9038698962155048,0.9468230221151978,0.978381497474591,0.03333091255944725,0.10635391684908523,0.03333091255944725,0.10635391684908523
