grid_nx,grid_ny,n_evaluated_points,mean_relative_vector_error,median_relative_vector_error,p95_relative_vector_error,p99_relative_vector_error,mean_magnitude_ratio,median_magnitude_ratio,max_abs_ratio_error_from_1
50,32,1440,0.01713604713741757,0.0029284726490113214,0.05731371203057315,0.3372029265928143,1.0035909825855434,1.000668163855043,0.8248142348856706
75,48,3356,0.009515370528181976,0.0012448903429279324,0.02262360824780743,0.15451894876885688,1.0013669237249767,1.0002873791898614,0.7862669054209128
100,65,6172,0.005659412359439017,0.0006795758687730201,0.012632096199040184,0.08013841074576229,1.0012173907429285,1.0001611060839948,0.8373032469454209
150,97,14052,0.003218146215519254,0.0002985323872948861,0.005506299843572848,0.03449819603847969,1.0003120142663626,1.0000701215182897,0.9923327075608919
225,146,32094,0.0019689443348648657,0.0001306898881806606,0.0023625292078288426,0.014637057723538415,1.00041585473799,1.0000311076917285,0.7932514659135702
