body,r_body_radii,r_m,eps_fraction,eps_m,expected_dA_dr,numeric_dA_dr,relative_error_dA_dr,expected_g_m_s2,g_from_numeric_derivative_m_s2,relative_error_g,ratio_g_num_to_expected
Sun,100.0,69634000000.0,0.001,69634000.0,-6.090748547743408e-19,-6.090754638498059e-19,1.000001002038003e-06,0.02737045899834069,0.027370486368827118,1.0000010020871557e-06,1.000001000001002
Sun,100.0,69634000000.0,0.0001,6963400.0,-6.090748547743408e-19,-6.090748608649556e-19,9.999780379088511e-09,0.02737045899834069,0.027370459272039273,9.999780463192549e-09,1.0000000099997806
Sun,100.0,69634000000.0,1e-05,696340.0,-6.090748547743408e-19,-6.090748548332868e-19,9.677952452121361e-11,0.02737045899834069,0.027370459000989594,9.677959479216113e-11,1.0000000000967797
Sun,100.0,69634000000.0,1e-06,69634.0,-6.090748547743408e-19,-6.090748547667645e-19,-1.2439061393422188e-11,0.02737045899834069,0.02737045899800023,-1.243896928666049e-11,0.9999999999875611
Sun,100.0,69634000000.0,1e-07,6963.4,-6.090748547743408e-19,-6.090748544341532e-19,-5.585316747608131e-10,0.02737045899834069,0.027370458983053424,-5.585316629219535e-10,0.9999999994414683
Jupiter,1.0,69911000.0,0.01,699110.0,-5.768052945755336e-16,-5.768629808736214e-16,0.00010001000100076451,25.920337281128827,25.922929574086247,0.00010001000100054,1.0001000100010005
Jupiter,1.0,69911000.0,0.001,69911.0,-5.768052945755336e-16,-5.768058713813831e-16,1.0000009619508391e-06,25.920337281128827,25.92036320149104,1.0000009618328908e-06,1.0000010000009618
Jupiter,1.0,69911000.0,0.0001,6991.1,-5.768052945755336e-16,-5.768053003429602e-16,9.998914055901693e-09,25.920337281128827,25.920337540304047,9.998913869874821e-09,1.000000009998914
Jupiter,1.0,69911000.0,1e-05,699.11,-5.768052945755336e-16,-5.768052946324075e-16,9.86015793767868e-11,25.920337281128827,25.92033728368461,9.860146158434979e-11,1.0000000000986016
Jupiter,1.0,69911000.0,1e-06,69.911,-5.768052945755336e-16,-5.768052945898127e-16,2.475544654682866e-11,25.920337281128827,25.920337281770493,2.47553212255597e-11,1.0000000000247553
Jupiter,1.0,69911000.0,1e-07,6.991099999999999,-5.768052945755336e-16,-5.768052944951575e-16,-1.3934710884302593e-10,25.920337281128827,25.9203372775169,-1.3934721290508493e-10,0.9999999998606528
Jupiter,1.5,104866500.0,0.01,1048665.0,-2.563579087002372e-16,-2.5638354705494335e-16,0.00010001000100268775,11.520149902723922,11.521302032927245,0.00010001000100273301,1.0001000100010027
Jupiter,1.5,104866500.0,0.001,104866.5,-2.563579087002372e-16,-2.56358165058403e-16,1.0000010028945051e-06,11.520149902723922,11.520161422885378,1.0000010028660628e-06,1.000001000001003
Jupiter,1.5,104866500.0,0.0001,10486.65,-2.563579087002372e-16,-2.563579112640112e-16,1.0000760239139524e-08,11.520149902723922,11.52015001793418,1.00007602598171e-08,1.0000000100007602
Jupiter,1.5,104866500.0,1e-05,1048.6650000000002,-2.563579087002372e-16,-2.56357908727092e-16,1.0475509611598515e-10,11.520149902723922,11.520149903930717,1.0475511815291625e-10,1.000000000104755
Jupiter,1.5,104866500.0,1e-06,104.8665,-2.563579087002372e-16,-2.563579087065834e-16,2.475519011468228e-11,11.520149902723922,11.520149903009106,2.4755184162772277e-11,1.000000000024755
Jupiter,1.5,104866500.0,1e-07,10.48665,-2.563579087002372e-16,-2.5635790876968693e-16,2.709092796316105e-10,11.520149902723922,11.520149905844837,2.7090924235146564e-10,1.0000000002709093
Jupiter,2.0,139822000.0,0.01,1398220.0,-1.442013236438834e-16,-1.4421574521840534e-16,0.00010001000100076451,6.480084320282207,6.480732393521562,0.00010001000100054,1.0001000100010005
Jupiter,2.0,139822000.0,0.001,139822.0,-1.442013236438834e-16,-1.4420146784534577e-16,1.0000009619508391e-06,6.480084320282207,6.48009080037276,1.0000009618328908e-06,1.0000010000009618
Jupiter,2.0,139822000.0,0.0001,13982.2,-1.442013236438834e-16,-1.4420132508574005e-16,9.998914055901693e-09,6.480084320282207,6.480084385076012,9.998913869874821e-09,1.000000009998914
Jupiter,2.0,139822000.0,1e-05,1398.22,-1.442013236438834e-16,-1.4420132365810189e-16,9.86015793767868e-11,6.480084320282207,6.4800843209211525,9.860146158434979e-11,1.0000000000986016
Jupiter,2.0,139822000.0,1e-06,139.822,-1.442013236438834e-16,-1.4420132364745317e-16,2.475544654682866e-11,6.480084320282207,6.480084320442623,2.47553212255597e-11,1.0000000000247553
Jupiter,2.0,139822000.0,1e-07,13.982199999999999,-1.442013236438834e-16,-1.4420132362378937e-16,-1.3934710884302593e-10,6.480084320282207,6.480084319379225,-1.3934721290508493e-10,0.9999999998606528
Jupiter,5.0,349555000.0,0.01,3495550.0,-2.3072211783021346e-17,-2.3074519234944665e-17,0.00010001000099251594,1.036813491245153,1.0369171829634414,0.0001000100009924276,1.0001000100009925
Jupiter,5.0,349555000.0,0.001,349555.0,-2.3072211783021346e-17,-2.3072234855254852e-17,1.0000009415164024e-06,1.036813491245153,1.0368145280596204,1.0000009414876334e-06,1.0000010000009414
Jupiter,5.0,349555000.0,0.0001,34955.5,-2.3072211783021346e-17,-2.3072212013746807e-17,1.0000144914177287e-08,1.036813491245153,1.036813501613438,1.0000144873600825e-08,1.000000010000145
Jupiter,5.0,349555000.0,1e-05,3495.55,-2.3072211783021346e-17,-2.3072211785248972e-17,9.655017562914408e-11,1.036813491245153,1.0368134913452574,9.655002571208087e-11,1.00000000009655
Jupiter,5.0,349555000.0,1e-06,349.555,-2.3072211783021346e-17,-2.307221178453906e-17,6.578098923223742e-11,1.036813491245153,1.0368134913133555,6.578092905894822e-11,1.000000000065781
Jupiter,5.0,349555000.0,1e-07,34.9555,-2.3072211783021346e-17,-2.3072211794004585e-17,4.760375646886473e-10,1.036813491245153,1.036813491738715,4.760374785461652e-10,1.0000000004760374
Jupiter,10.0,699110000.0,0.01,6991100.0,-5.7680529457553365e-18,-5.768629808736166e-18,0.00010001000099251594,0.25920337281128825,0.25922929574086034,0.0001000100009924276,1.0001000100009925
Jupiter,10.0,699110000.0,0.001,699110.0,-5.7680529457553365e-18,-5.768058713813713e-18,1.0000009415164024e-06,0.25920337281128825,0.2592036320149051,1.0000009414876334e-06,1.0000010000009414
Jupiter,10.0,699110000.0,0.0001,69911.0,-5.7680529457553365e-18,-5.768053003436702e-18,1.0000144914177287e-08,0.25920337281128825,0.2592033754033595,1.0000144873600825e-08,1.000000010000145
Jupiter,10.0,699110000.0,1e-05,6991.1,-5.7680529457553365e-18,-5.768052946312243e-18,9.655017562914408e-11,0.25920337281128825,0.25920337283631434,9.655002571208087e-11,1.00000000009655
Jupiter,10.0,699110000.0,1e-06,699.11,-5.7680529457553365e-18,-5.768052946134765e-18,6.578098923223742e-11,0.25920337281128825,0.2592033728283389,6.578092905894822e-11,1.000000000065781
Jupiter,10.0,699110000.0,1e-07,69.911,-5.7680529457553365e-18,-5.768052948501146e-18,4.760375646886473e-10,0.25920337281128825,0.25920337293467877,4.760374785461652e-10,1.0000000004760374
Jupiter,25.0,1747775000.0,0.01,17477750.0,-9.228884713208539e-19,-9.229807693977936e-19,0.00010001000100005364,0.04147253964980612,0.04147668731853797,0.0001000100010000236,1.000100010001
Jupiter,25.0,1747775000.0,0.001,1747775.0,-9.228884713208539e-19,-9.22889394210265e-19,1.000001018295793e-06,0.04147253964980612,0.041472581122388004,1.0000010183311355e-06,1.0000010000010184
Jupiter,25.0,1747775000.0,0.0001,174777.5,-9.228884713208539e-19,-9.228884805495173e-19,9.999760199178517e-09,0.04147253964980612,0.04147254006452157,9.999760154150862e-09,1.0000000099997601
Jupiter,25.0,1747775000.0,1e-05,17477.75,-9.228884713208539e-19,-9.228884714170581e-19,1.0424254735497613e-10,0.04147253964980612,0.04147253965412932,1.0424250734345048e-10,1.0000000001042426
Jupiter,25.0,1747775000.0,1e-06,1747.7749999999999,-9.228884713208539e-19,-9.228884713460668e-19,2.7319581362709457e-11,0.04147253964980612,0.04147253965093913,2.7319531472456727e-11,1.0000000000273195
Jupiter,25.0,1747775000.0,1e-07,174.7775,-9.228884713208539e-19,-9.228884709319499e-19,-4.213986941222493e-10,0.04147253964980612,0.04147253963232964,-4.213988037673489e-10,0.9999999995786012
Jupiter,50.0,3495550000.0,0.01,34955500.0,-2.3072211783021347e-19,-2.307451923494484e-19,0.00010001000100005364,0.01036813491245153,0.010369171829634493,0.0001000100010000236,1.000100010001
Jupiter,50.0,3495550000.0,0.001,3495550.0,-2.3072211783021347e-19,-2.3072234855256625e-19,1.000001018295793e-06,0.01036813491245153,0.010368145280597001,1.0000010183311355e-06,1.0000010000010184
Jupiter,50.0,3495550000.0,0.0001,349555.0,-2.3072211783021347e-19,-2.307221201373793e-19,9.999760199178517e-09,0.01036813491245153,0.010368135016130393,9.999760154150862e-09,1.0000000099997601
Jupiter,50.0,3495550000.0,1e-05,34955.5,-2.3072211783021347e-19,-2.3072211785426453e-19,1.0424254735497613e-10,0.01036813491245153,0.01036813491353233,1.0424250734345048e-10,1.0000000001042426
Jupiter,50.0,3495550000.0,1e-06,3495.5499999999997,-2.3072211783021347e-19,-2.307221178365167e-19,2.7319581362709457e-11,0.01036813491245153,0.010368134912734783,2.7319531472456727e-11,1.0000000000273195
Jupiter,50.0,3495550000.0,1e-07,349.555,-2.3072211783021347e-19,-2.3072211773298747e-19,-4.213986941222493e-10,0.01036813491245153,0.01036813490808241,-4.213988037673489e-10,0.9999999995786012
Jupiter,100.0,6991100000.0,0.01,69911000.0,-5.768052945755337e-20,-5.76862980873621e-20,0.00010001000100005364,0.0025920337281128826,0.0025922929574086232,0.0001000100010000236,1.000100010001
Jupiter,100.0,6991100000.0,0.001,6991100.0,-5.768052945755337e-20,-5.768058713814156e-20,1.000001018295793e-06,0.0025920337281128826,0.0025920363201492502,1.0000010183311355e-06,1.0000010000010184
Jupiter,100.0,6991100000.0,0.0001,699110.0,-5.768052945755337e-20,-5.768053003434483e-20,9.999760199178517e-09,0.0025920337281128826,0.002592033754032598,9.999760154150862e-09,1.0000000099997601
Jupiter,100.0,6991100000.0,1e-05,69911.0,-5.768052945755337e-20,-5.768052946356613e-20,1.0424254735497613e-10,0.0025920337281128826,0.0025920337283830827,1.0424250734345048e-10,1.0000000001042426
Jupiter,100.0,6991100000.0,1e-06,6991.099999999999,-5.768052945755337e-20,-5.768052945912918e-20,2.7319581362709457e-11,0.0025920337281128826,0.0025920337281836957,2.7319531472456727e-11,1.0000000000273195
Jupiter,100.0,6991100000.0,1e-07,699.11,-5.768052945755337e-20,-5.768052943324687e-20,-4.213986941222493e-10,0.0025920337281128826,0.0025920337270206027,-4.213988037673489e-10,0.9999999995786012
