r_dimensionless,accumulation_A,transition_fraction,state,su_per_ly,effective_outward_speed_toy,escape_tendency_toy,cumulative_su_from_outer_radius
0.25,16.0,1.0,liquid-like / trapped,3.129783693843594,0.0,0.0,29.296800991294244
0.2539507901580316,15.506038683500757,1.0,liquid-like / trapped,3.134195499886331,0.0,0.0,29.28442715761989
0.2579015803160632,15.034603991201392,1.0,liquid-like / trapped,3.138695229340764,0.0,0.0,29.272035720142174
0.2618523704740948,14.584346718755564,1.0,liquid-like / trapped,3.143283879843595,0.0,0.0,29.25962632952341
0.26580316063212645,14.15401718100231,1.0,liquid-like / trapped,3.147962474987205,0.0,0.0,29.2471986324332
0.269753950790158,13.742456531371667,1.0,liquid-like / trapped,3.1527320649346673,0.0,0.0,29.234752271444655
0.27370474094818964,13.348588951979902,1.0,liquid-like / trapped,3.157593727055882,0.0,0.0,29.22228688492817
0.27765553110622126,12.971414616017071,1.0,liquid-like / trapped,3.16254856658559,0.0,0.0,29.209802106942632
0.28160632126425283,12.610003336365047,1.0,liquid-like / trapped,3.1675977173040684,0.0,0.0,29.197297567123986
0.28555711142228446,12.263488825025073,1.0,liquid-like / trapped,3.172742342241338,0.0,0.0,29.18477289057107
0.28950790158031603,11.93106349713291,1.0,liquid-like / trapped,3.17798363440576,0.0,0.0,29.172227697728626
0.29345869173834765,11.6119737613082,1.0,liquid-like / trapped,3.183322817537925,0.0,0.0,29.159661604267345
0.2974094818963793,11.305515745002609,1.0,liquid-like / trapped,3.1887611468907844,0.0,0.0,29.14707422096094
0.30136027205441085,11.011031409527629,1.0,liquid-like / trapped,3.1942999100370275,0.0,0.0,29.134465153560026
0.3053110622124425,10.727905014686343,1.0,liquid-like / trapped,3.1999404277047305,0.0,0.0,29.121834002662805
0.3092618523704741,10.45555989751125,1.0,liquid-like / trapped,3.2056840546423735,0.0,0.0,29.109180363582354
0.31321264252850567,10.193455533614147,1.0,liquid-like / trapped,3.2115321805143524,0.0,0.0,29.096503826210444
0.3171634326865373,9.941084853162645,1.0,liquid-like / trapped,3.2174862308281824,0.0,0.0,29.083803974877775
0.3211142228445689,9.697971786577396,1.0,liquid-like / trapped,3.223547667894626,0.0,0.0,29.071080388210465
0.3250650130026005,9.463669017751482,1.0,liquid-like / trapped,3.2297179918220587,0.0,0.0,29.05833263898268
0.3290158031606321,9.237755924977984,1.0,liquid-like / trapped,3.235998741546416,0.0,0.0,29.045560293965274
0.33296659331866374,9.019836691874865,1.0,liquid-like / trapped,3.2423914958981657,0.0,0.0,29.03276291377028
0.3369173834766953,8.809538572454256,1.0,liquid-like / trapped,3.2488978747077812,0.0,0.0,29.01994005269112
0.34086817363472693,8.606510296127313,1.0,liquid-like / trapped,3.255519539951292,0.0,0.0,29.00709125853834
0.34481896379275856,8.410420599892408,1.0,liquid-like / trapped,3.2622581969375366,0.0,0.0,28.99421607247077
0.34876975395079013,8.220956876247055,1.0,liquid-like / trapped,3.269115595538843,0.0,0.0,28.9813140288219
0.35272054410882175,8.037823926512614,1.0,liquid-like / trapped,3.2760935314669304,0.0,0.0,28.968384654921284
0.3566713342668534,7.860742810283071,1.0,liquid-like / trapped,3.283193847595919,0.0,0.0,28.955427470910834
0.36062212442488495,7.68944978261978,1.0,liquid-like / trapped,3.290418435334424,0.0,0.0,28.942441989555775
0.3645729145829166,7.523695311426857,1.0,liquid-like / trapped,3.29776923604881,0.0,0.0,28.929427716050093
0.3685237047409482,7.363243168167838,1.0,liquid-like / trapped,3.3052482425397818,0.0,0.0,28.916384147816235
0.37247449489897977,7.207869585733554,1.0,liquid-like / trapped,3.312857500574593,0.0,0.0,28.90331077429888
