catalog,cid,z,mu_obs,muerr,mB,lcdm_distance_mpc,lcdm_distance_mly,lcdm_mu,stam_su,stam_distance_mly,stam_distance_mpc,stam_mu,observed_distance_mpc,observed_distance_mly,lcdm_residual_mu,stam_residual_mu,lcdm_abs_residual_mu,stam_abs_residual_mu,lcdm_sq_residual_mu,stam_sq_residual_mu,lcdm_residual_sigma,stam_residual_sigma,weight,stam_minus_lcdm_mu
DES,2004ef,0.03012,35.5473,0.1369,16.57759,131.97557554725057,430.4467565216638,35.602467823205856,124.18610686273851,419.98273804683157,128.76729289712088,35.549027827613855,128.66487428435522,419.6486932094469,-0.05516782320585634,-0.0017278276138554816,0.05516782320585634,0.0017278276138554816,0.003043488717272621,2.985388263201527e-06,-0.4029789861640346,-0.012621092869652897,53.357208905745026,-0.053439995592000855
DES,2007nq,0.04349,36.36083,0.0883,17.09512,192.43824274787923,627.6496016635776,36.42145691241683,179.66920595987946,610.3013760669862,187.11925259835428,36.36059237061251,187.13973062341879,610.3681664517406,-0.06062691241682927,0.00023762938749172235,0.06062691241682927,0.00023762938749172235,0.0036756225091978873,5.646772579969113e-08,-0.6866014996243405,0.0026911595412426087,128.2562662805298,-0.06086454180432099
DES,2006az,0.03201,35.60595,0.0962,16.18893,140.45331667885557,458.097449898812,35.737659995662995,132.015909042585,446.7411886720704,136.97147115729751,35.68315060187048,132.18738158218684,431.1375754127502,-0.13170999566299457,-0.07720060187048006,0.13170999566299457,0.07720060187048006,0.01734752295754605,0.005959932929164369,-1.3691267740436026,-0.8025010589446991,108.05624111237418,-0.054509393792514516
DES,2007is,0.02866,35.58174,0.1241,16.1189,125.44234725020304,409.13821576767543,35.492220859206334,118.14069951447198,399.344927016216,122.43971126818646,35.43961148396407,130.72179418040088,426.35746863252314,0.0895191407936693,0.1421285160359318,0.0895191407936693,0.1421285160359318,0.008013676568436786,0.02020051507057612,0.7213468234783988,1.1452741018205623,64.9316496989444,-0.0526093752422625
DES,2008gb,0.03796,36.20641,0.1163,16.80286,167.29187442678958,545.6331176495577,36.11737423627319,156.69400628691682,531.2929959521819,162.895173125746,36.05954107789886,174.29382463772194,568.4704248188903,0.08903576372680533,0.14686892210114166,0.08903576372680533,0.14686892210114166,0.007927367222415504,0.02157048027915122,0.7655697654927371,1.2628454178945974,73.93338158718704,-0.057833158374336335
DES,2007ux,0.03264,35.67592,0.1568,17.04465,143.28432392030666,467.33096056712253,35.78099339416003,134.6268205483028,455.67129888619206,139.70945539658584,35.726128998631,136.51613997353599,445.25609697703055,-0.10507339416002992,-0.0502089986309997,0.10507339416002992,0.0502089986309997,0.01104041816030901,0.00252094354352773,-0.670110932143048,-0.3202104504528042,40.673157017909205,-0.05486439552903022
DES,2002hd,0.03134,36.00315,0.1791,16.57841,137.4453561554575,448.2867948160588,35.690650354941454,129.2397616307753,437.2499174111206,134.06143415885197,35.6365193053327,158.71939522381643,517.673430010627,0.3124996450585442,0.36663069466730036,0.3124996450585442,0.36663069466730036,0.09765602816171612,0.13441806627222722,1.7448333057428487,2.047072555372978,31.175169850119133,-0.05413104960875614
DES,2006is,0.03071,35.72373,0.1121,15.79149,134.6196036575057,439.07042282879775,35.645541537937255,126.62985860085087,428.3307712240529,131.32681150554112,35.59176700059996,139.55519245573404,455.1681604663306,0.07818846206274799,0.13196299940004508,0.07818846206274799,0.13196299940004508,0.0061134355997377815,0.0174142332106563,0.6974885108184476,1.1771900035686447,79.57722213424518,-0.05377453733729709
DES,2004gu,0.04664,36.54971,0.1315,17.14525,206.84878537054246,674.65050547416,36.578264875168536,192.77317880234116,655.4891644632324,200.973891507689,36.515698209723865,204.14652889059107,665.8369236256893,-0.028554875168538274,0.0340117902761321,0.028554875168538274,0.0340117902761321,0.0008153808958908037,0.0011568018777875944,-0.2171473396847017,0.2586447929743886,57.829374430742085,-0.06256666544467038
DES,2005eq,0.02823,35.63531,0.1201,16.02149,123.52079202641718,402.8709408561919,35.45870033867915,116.36070318885213,393.2721074472814,120.5777763234765,35.40633635206081,133.9867953691555,437.0064782383621,0.1766096613208461,0.22897364793918484,0.1766096613208461,0.22897364793918484,0.031190972471863962,0.05242893145057777,1.4705217428879775,1.906524962024853,69.32884821904588,-0.05236398661833874
DES,2008ar,0.02849,35.45147,0.0994,15.93568,124.68252033521469,406.6599918257196,35.47902786265881,117.43695282406246,396.94374900635745,121.70350674337311,35.42651546047469,123.11018955450542,401.5317347074685,-0.027557862658809995,0.024954539525310793,0.027557862658809995,0.024954539525310793,0.0007594357943218343,0.0006227290429202986,-0.2772420790624748,0.25105170548602407,101.21088705269847,-0.05251240218412079
DES,2005hc,0.04575,36.69777,0.0872,17.04612,202.7708781908182,661.350151134881,36.53502791037761,189.0695481065524,642.7083576782513,197.05527833230735,36.47294036195312,218.5516048940008,712.8199977089373,0.162742089622391,0.22482963804687728,0.162742089622391,0.22482963804687728,0.026484987734662346,0.05054836614428985,1.8663083672292546,2.578321537234831,131.5124989479,-0.06208754842448627
