z,lcdm_distance_mly,lcdm_mu,stam_unadjusted_su,stam_unadjusted_distance_mly,stam_adjusted_union_distance_mly,stam_adjusted_union_mu,stam_adjusted_union_excess_mly,stam_adjusted_union_excess_fraction,stam_adjusted_union_flattening_ratio,stam_adjusted_original_distance_mly,stam_adjusted_original_mu,stam_adjusted_original_excess_mly,stam_adjusted_original_excess_fraction,stam_adjusted_original_flattening_ratio,stam_adjusted_des_distance_mly,stam_adjusted_des_mu,stam_adjusted_des_excess_mly,stam_adjusted_des_excess_fraction,stam_adjusted_des_flattening_ratio,unadjusted_over_lcdm_distance,adjusted_union_over_lcdm_distance
0.001,13.979282037715693,28.160294959940444,4.105116259979067,13.389098489816325,13.748733971465512,28.1241841684653,0.3596354816491871,0.026157716222859805,0.9738422837771402,13.855146663665513,28.140926261568083,0.4660481738491882,0.03363718805455724,0.9663628119454427,14.729196763465513,28.273765943906042,1.340098273649188,0.09098244087370636,0.9090175591262937,0.9577815551394506,0.9835078750376329
0.0035015015015015015,49.04314746640833,30.885762296418427,14.37946345318306,46.89953711721774,48.19984148274582,30.84809867450729,1.3003043655280777,0.02697735771586614,0.9730226422841338,48.57244568426293,30.864820481240933,1.6729085670451909,0.03444151397933828,0.9655584860206617,51.63293342110017,30.997504621303644,4.733396303882429,0.09167397608961131,0.9083260239103887,0.9562913381393632,0.9828048152039971
0.006003003003003003,84.24199237415513,32.06051377286481,24.661515832130494,80.43510669932732,82.73471884305337,32.02130960162451,2.2996121437260513,0.027795007656802265,0.9722049923431977,83.3735145538876,32.03801117109169,2.938407854560282,0.03524390053943417,0.9647560994605658,88.62043992776208,32.17054013281565,8.185333228434757,0.09236394261986215,0.9076360573801379,0.9548101182374725,0.9821078124030198
0.008504504504504504,119.57545786152545,32.821080887165,34.95127339682137,113.99580723614505,117.35336605238814,32.780348379748915,3.3575588162430847,0.0286106732954232,0.9713893267045768,118.2583532725395,32.79702976087423,4.26254603639444,0.036044354740598576,0.9639556452594015,125.69171628345121,32.92940390691975,11.69590904730616,0.09305234579604561,0.9069476542039544,0.9533378276348152,0.9814168237456334
0.011006006006006007,155.04318516555662,33.38513403387002,45.248736147255705,147.58163872767102,152.0557831107502,33.34288533593037,4.474144383079192,0.029424361846339234,0.9705756381536608,153.22696184021868,33.35954657746123,5.645323112547658,0.03684288355488287,0.9631571164451171,162.84676248816763,33.49176626921836,15.265123760496607,0.09373919092561489,0.9062608090743851,0.9518743991880837,0.9807318067439311
0.013507507507507507,190.6448156690923,33.833995623294314,55.55390408343347,181.1926011739051,186.84197001813945,33.79024281343022,5.6493688442343455,0.030236080489227768,0.9697639195107722,188.27934025692502,33.80688396393768,7.086739083019921,0.03763949392083801,0.962360506079162,200.08557854191122,33.93894956153216,18.892977368006115,0.09442448329202631,0.9055755167079736,0.950419766401654,0.9800527193062855
0.01600900900900901,226.37999091006435,34.20706081546344,65.8667772053547,214.8286945748474,221.711926774556,34.161815905664604,6.883232199708601,0.03104583636904522,0.9689541636309548,223.41548852265868,34.17843701354421,8.586793947811287,0.038434192743715796,0.9615658072562842,237.40816444468211,34.310348875843374,22.579469869834725,0.09510822815487423,0.9048917718451258,0.9489738634197311,0.9793795197325418
0.01851051051051051,262.24835259071676,34.52643446820219,76.18735551301936,248.48991893049782,256.6656533799997,34.47970940428844,8.175734449501874,0.03185363659623558,0.9681463634037645,258.6354066374196,34.49631051776112,10.145487706921756,0.03922698689566775,0.9607730131043323,274.8145201964802,34.628069002379696,26.32460126598238,0.09579043075002536,0.9042095692499746,0.9475366250186085,0.9787121667092803
0.021012012012012013,298.2495425867717,34.80576955614761,86.51563900642748,282.1762742408565,291.70314983447076,34.75757621820428,9.52687559361425,0.03265948824693991,0.9673405117530601,293.93909460120767,34.774157385317096,11.762820360351157,0.040017883215943024,0.959982116784057,312.30464579730557,34.905762848623105,30.128371556449054,0.09647109628975295,0.9035289037102471,0.9461079865990443,0.9780506193051532
0.023513513513513516,334.38320295653705,35.05409289191492,96.85162768557903,315.88776050592327,326.824416137969,35.00444309472409,10.936655632045756,0.03346339836320198,0.966536601636798,329.32655241402307,35.02100436335116,13.438791908099802,0.040806888511087346,0.9591931114889126,349.8785412471582,35.152457160471656,33.990780741234914,0.09715022996287,0.90284977003713,0.9446878841787463,0.9773948369662859
0.026015015015015016,370.64897594995404,35.2776846475621,107.195321550474,349.6243777256982,362.0294522904945,35.22659014102984,12.40507456479628,0.03426537395317323,0.9657346260468268,364.79778007586566,35.24313155887312,15.173402350167464,0.04159400955513465,0.9584059904448653,387.53620654603804,35.37443204369997,37.91182882033985,0.09782783693485952,0.9021721630651405,0.943276254384972,0.9767447795117519
0.028516516516516516,407.0465040175871,35.48109077017643,117.54672060111245,383.38612590018136,397.3182582920472,35.42856323975603,13.93213239186582,0.03506542199131726,0.9649345780086828,400.35277758673544,35.44508485434615,16.966651686554087,0.04237925308980354,0.9576207469101965,425.2776416939451,35.57623337954173,41.891515793763745,0.0985039223480066,0.9014960776519934,0.94187303444723,0.9761004071291087
0.03101801801801802,443.57542981955095,35.667708034961564,127.90582483749434,417.17300502937263,432.6908341426272,35.613759102072834,15.51782911325455,0.03586354941861198,0.964136450581388,435.9915449466326,35.63026096076992,18.818539917259955,0.04316262582468986,0.9568373741753101,463.10284669087946,35.761257877772856,45.92984166150683,0.09917849132152914,0.9008215086784709,0.9404781621900947,0.9754616803700068
0.03351951951951952,480.23539623437904,35.840141459800705,138.27263425961968,450.98501511327214,468.1471798422344,35.78478268224539,17.16216472896224,0.03665976314274902,0.963340236857251,471.7140821555569,35.801264832239866,20.729067042284782,0.04394413443745563,0.9560558655625444,501.011821536841,35.932110491270635,50.02680642356887,0.0998515489517052,0.9001484510482948,0.9390915760261219,0.9748285601458561
0.03602102102102102,517.0260463678298,36.00043273583927,148.64714886748845,484.82215615187977,503.6872953908688,35.94367560821262,18.86513923898906,0.037454070038334855,0.9625459299616651,507.5203892135084,35.96013809652602,22.698233061628628,0.04472378557402099,0.955276214425979,539.0045662318298,36.09083284659262,54.182410079950046,0.10052310031200329,0.8994768996879967,0.9377132149488672,0.9742010077235618
0.03852252252252252,553.9470235616326,36.15021179065816,159.02936866110068,518.6844281451956,539.3111807885305,36.092067744756754,20.62675264333484,0.03824647694708708,0.961753523052913,543.4104661204873,36.10851061824256,24.72603797529166,0.04550158584875194,0.954498414151248,577.0810807758459,36.23905480714606,58.39665263065024,0.10119315045320833,0.8988068495467917,0.936343018526006,0.9735789847213183
0.041024024024024025,590.9979714021704,36.2908005755823,169.41929364045635,552.5718310932195,575.0188360352195,36.231280980808066,22.44700494199992,0.03903699067803243,0.9609630093219675,579.3843128764933,36.24770428615246,26.81248178327371,0.04627754184464656,0.9537224581553534,615.2413651688892,36.37809826049261,62.66953407566962,0.10186170440354946,0.8981382955964505,0.9349809268925526,0.9729624531044673
0.04352552552552553,628.1785337290991,36.42328608222491,179.8169238055555,586.4843649959519,610.8102611309356,36.36240224598555,24.325896134983736,0.039825618007699355,0.9601743819923007,615.4419294815266,36.378806029708244,28.95756448557472,0.047051660113521604,0.9529483398864784,653.4854194109597,36.50905013488894,67.00105441500784,0.10252876716882439,0.8974712328311756,0.9336268807441807,0.972351375181417
0.04602702702702703,665.4883546439075,36.548572925602926,190.22225915639802,620.4220298533921,646.6854560756791,36.486336093708644,26.263426222286967,0.040612365680315315,0.9593876343196847,651.5833159355872,36.50272040216365,31.161286082195033,0.047823947176197354,0.9521760528238027,691.8132435020575,36.63281498239849,71.39121364866537,0.10319434373252649,0.8968056562674735,0.9322808213306306,0.9717457135996173
0.04852852852852853,702.9270785184108,36.667421993503595,200.635299692984,654.3848256655406,682.6444208694496,36.60384335056026,28.259595203909043,0.04139724040799488,0.9586027595920051,687.8084722386749,36.620208229936694,33.423646573134306,0.048594409522678926,0.9514055904773211,730.2248374421824,36.75015362825442,75.84001177664186,0.10385843905596638,0.8961415609440336,0.9309426904492216,0.9711454313415955
0.05103003003003003,740.4943500031803,36.78047937067409,211.0560454153135,688.3727524323974,718.6871555122476,36.71557004047286,30.314403079850194,0.04218024887093392,0.957819751129066,724.11739839079,36.7319155367957,35.74464595839254,0.04936305361233974,0.9506369463876603,768.7202012313347,36.86171209504562,80.34744879893731,0.10452105807839693,0.895478941921603,0.929612430438451,0.9705504917210522
0.053531531531531534,778.1898140359127,36.88829833419157,221.4844963233864,722.3858101539622,754.8136600040727,36.822069380094995,32.42784985011053,0.042961397717597695,0.9570386022824023,760.5100943919323,36.83839553922587,38.12428423797007,0.050129885874101957,0.9498701141258981,807.2993348695143,36.968043598083284,84.91352471555206,0.10518220571713569,0.8948177942828643,0.9282899841716828,0.9699608583790057
0.05603303303303303,816.0131158497295,36.991356321046894,231.92065241720272,756.4239988302352,791.0239343449251,36.92381874637161,34.599935514689946,0.043740693564908846,0.9562593064350912,796.9865602421017,36.94012561400959,40.56256141186657,0.0508949127066143,0.9491050872933857,845.962238356721,37.069625512981126,89.53823952648577,0.10584188686768516,0.8941581131323149,0.9269752950509342,0.9693764952800021
0.058534534534534534,853.9639009814169,37.09006818698337,242.3645136967625,790.4873184612164,827.3179785348048,37.02123293537936,36.83066007358832,0.044518142998434644,0.9554818570015654,833.5467959412983,37.0375205570617,43.05947748008191,0.051658140478431314,0.9483418595215687,884.7089116929549,37.16687263449069,94.22159323173844,0.10650010640385499,0.893499893596145,0.9256683070007408,0.9687973667083709
