test,n,max_abs_error,mean_abs_error,median_abs_error,max_ratio_error_from_1,mean_ratio,median_ratio
Earth single-body analytic g_from_grad vs Newtonian g,2000,1.7763568394002505e-15,1.024169898194982e-16,8.673617379884035e-19,2.220446049250313e-16,1.0,1.0000000000000002
Earth single-body numeric g_from_grad vs Newtonian g,2000,1.0068319511447044e-09,1.1240292484065647e-10,1.2406499438899488e-11,1.184456976943693e-10,1.0000000000998541,1.0000000000997318
Moon single-body analytic g_from_grad vs Newtonian g,2000,2.220446049250313e-16,1.0705337712222512e-17,0.0,2.220446049250313e-16,1.0,1.0
Moon single-body numeric g_from_grad vs Newtonian g,2000,1.7456347478628231e-10,1.6270708258985617e-11,1.0730279512149998e-12,1.1556511303467687e-10,1.000000000099998,1.0000000000999505
Earth-Moon line analytic A-gradient acceleration vs Newtonian acceleration,3000,1.7763568394002505e-15,1.8060709387137364e-17,5.421010862427522e-19,4.7628567756419216e-14,1.0,1.0000000000000002
Earth-Moon line numeric A-gradient acceleration vs Newtonian acceleration,3000,0.18966855946006334,0.0001322545708113822,1.3242620466565394e-08,0.06746792486135345,0.99999340359358,1.0000006315520888
