catalog,cid,z,mu_obs,muerr,weight,observed_distance_mly,lcdm_mu,stam_adjusted_union_mu,stam_adjusted_des_mu,stam_unadjusted_mu_equiv,resid_lcdm_mu,resid_stam_adjusted_union_mu,resid_stam_adjusted_des_mu,resid_stam_unadjusted_mu
DES,2009ad,0.02844,35.46983,0.097,106.28122010840684,404.9411156552497,35.47513288355947,35.42264901418322,35.570324401972655,35.3451933679996,-0.005302883559465954,0.04718098581678021,-0.10049440197265369,0.12463663200040287
DES,2005M,0.02598,35.16595,0.1391,51.682764986580565,352.0593437123378,35.27470326311441,35.22362889825503,35.37147320802996,35.147943125171096,-0.10875326311440858,-0.05767889825502692,-0.20552320802995894,0.01800687482890595
DES,2007bd,0.0312,35.70509,0.1008,98.41899722852104,451.2777018425475,35.6807033472964,35.62665146041685,35.774137785057896,35.54721336411964,0.024386652703597633,0.0784385395831464,-0.06904778505789722,0.15787663588035628
DES,2007jg,0.03756,36.30183,0.1224,66.74783203041567,594.0074269493828,36.0937342815626,36.036122542073436,36.183175037800254,35.9521292684794,0.2080957184374057,0.2657074579265668,0.11865496219974858,0.3497007315205991
DES,2003kc,0.03479,35.90221,0.1476,45.90154302627037,494.160326247587,35.9229581044051,35.86688769029776,36.014128819278426,35.78487611684213,-0.020748104405100776,0.03532230970223793,-0.11191881927842928,0.11733388315786897
DES,2007sw,0.02517,35.21658,0.1559,41.144119209325225,360.3643951030091,35.204610842174034,35.15400305278847,35.301903067853765,35.07890064359462,0.011969157825966192,0.06257694721153229,-0.0853230678537642,0.13767935640537843
DES,2010ag,0.03335,35.617,0.162,38.103947568968145,433.3371024560728,35.82886012412298,35.77359652386948,35.92093590628661,35.692616511156,-0.21186012412298538,-0.15659652386948153,-0.30393590628661116,-0.07561651115599943
DES,2005na,0.02748,35.27905,0.0994,101.21088705269847,370.88210146113454,35.39901811353164,35.347082953943655,35.494824216543556,35.27031766357421,-0.11996811353164105,-0.06803295394365705,-0.21577421654355788,0.008732336425786968
DES,2006on,0.07089,37.37352,0.1761,32.24640380043216,973.0381657417779,37.52485220171491,37.44976595608832,37.594586058162754,37.34219494084657,-0.1513322017149079,-0.07624595608832152,-0.22106605816275504,0.03132505915343131
DES,2006cq,0.04944,36.83597,0.1159,74.44458754348494,759.6610772901222,36.70925642677466,36.645191636681744,36.79144057411342,36.552738140527865,0.12671357322534504,0.19077836331825893,0.04452942588658004,0.2832318594721386
DES,2004as,0.03296,35.89486,0.1689,35.05425171266311,492.4905199070136,35.802691836420024,35.74764740349892,35.89501341880062,35.66694693251382,0.09216816357997715,0.14721259650108465,-0.00015341880062180735,0.22791306748618467
DES,2007kk,0.04285,36.24371,0.1092,83.85997396986407,578.3195516594812,36.388253018927536,36.32773648243169,36.47443007642878,36.23996821617858,-0.14454301892753563,-0.08402648243168898,-0.23072007642878134,0.0037417838214182098
DES,2006bu,0.08478,37.92895,0.1198,69.6765059183224,1256.6544545584904,37.934268139822315,37.85246289281616,37.99637255397066,37.73520917228617,-0.005318139822314549,0.07648710718383711,-0.06742255397065833,0.19374082771383172
DES,2006mo,0.03702,36.05893,0.1337,55.941896508610284,531.143504883938,36.06142809486351,36.00411573143712,36.151204962482836,35.920508511692326,-0.002498094863511824,0.054814268562878965,-0.09227496248283984,0.13842148830767087
DES,2007su,0.0274,35.4032,0.2219,20.30885297426198,392.70449744561625,35.39255798314087,35.34066862675387,35.48841538157528,35.26396088488339,0.01064201685912991,0.06253137324613078,-0.08521538157528141,0.13923911511660947
