target_adjustment,model,rmse_avg_A,mae_avg_A,max_abs_error_avg_A,params
union,quadratic_avg_A,0.001192788250754154,0.0010229703838266744,0.0034478714938779367,0.0299799430613; 0.328280972173; -0.0316657048605
union,power_1pz_avg_A,0.006504131237661926,0.003949460844323861,0.026431535378005515,1.4273385932; 0.300514138817
union,integral_alpha_u_beta_u2,0.010058292961695083,0.00778407152885503,0.026484131623552686,0.752473794804; -0.142941058376
union,linear_avg_A,0.014802467898437458,0.012705848514389587,0.03639011030681123,0.0630013461364; 0.249085044317
union,integral_alpha_u_only,0.03479883611609317,0.03182077636389637,0.06154421187071235,0.573752809451
union,constant_avg_A,0.18038797359826322,0.15573752425598394,0.34762187318128834,0.374482194055
