sample,trials,lcdm_offset_mean,stam_offset_mean,lcdm_beta_mean,lcdm_beta_median,stam_beta_mean,stam_beta_median,stam_minus_lcdm_beta_mean,stam_minus_lcdm_beta_median
DES all,500,-0.006787350839513269,0.1297802991753039,0.9929719340370448,0.9929659269668665,1.0083411735632422,1.008370761087734,0.015369239526197495,0.015370000914839754
DES z<1,500,-0.006065448218116307,0.1308229353221492,0.9931229180204786,0.9931168986086795,1.008914441541762,1.0089097458294545,0.01579152352128345,0.015786324014378128
Pantheon all,500,-0.1068024143165584,0.0016972239338945685,0.9948478693800934,0.9948651421695869,1.0097937831924604,1.0098250650950642,0.014945913812366977,0.014937944791420354
Pantheon z<1,500,-0.10711536696017339,0.0019815476669263767,0.994418582557305,0.994423569089775,1.010363446404169,1.0103636930452469,0.01594486384686413,0.0159444515536728
