body,r_m,r_body_radii,A_Rs_over_r,abs_grad_A_analytic,dA_dr_numeric,abs_grad_A_numeric,g_newton_m_s2,g_from_A_gradient_analytic_m_s2,g_from_A_gradient_numeric_m_s2,ratio_grad_g_to_newton,ratio_numeric_grad_g_to_newton
Earth,6774296.376810137,1.0633018955909805,1.3093762626345011e-09,1.9328594289390344e-16,-1.9328594291504553e-16,1.9328594291504553e-16,8.685837107646224,8.685837107646226,8.685837108596303,1.0000000000000002,1.0000000001093825
Earth,6789162.663696881,1.0656353262748206,1.3065091103614964e-09,1.9244038993905431e-16,-1.924403899585177e-16,1.924403899585177e-16,8.647839852792881,8.647839852792881,8.647839853667524,1.0,1.00000000010114
Earth,6804061.574855345,1.0679738777044963,1.3036482363160682e-09,1.9159853595883777e-16,-1.9159853597828087e-16,1.9159853597828087e-16,8.61000882156989,8.61000882156989,8.61000882244362,1.0,1.0000000001014784
Earth,6818993.181879971,1.0703175611175595,1.300793626750723e-09,1.9076036477163613e-16,-1.9076036479206346e-16,1.9076036479206346e-16,8.572343286811616,8.572343286811618,8.572343287729577,1.0000000000000002,1.000000000107084
Earth,6833957.55652226,1.0726663877762141,1.2979452679480812e-09,1.8992586026662332e-16,-1.899258602870108e-16,1.899258602870108e-16,8.534842524533643,8.534842524533644,8.534842525449813,1.0000000000000002,1.0000000001073448
Earth,6848954.770691231,1.0750203689673883,1.2951031462207896e-09,1.8909500640344882e-16,-1.890950064224161e-16,1.890950064224161e-16,8.497505813918565,8.497505813918565,8.497505814770912,1.0,1.0000000001003055
Earth,6863984.896453647,1.07737951600277,1.2922672479114772e-09,1.8826778721193593e-16,-1.882677872309134e-16,1.882677872309134e-16,8.46033243730243,8.460332437302432,8.460332438155236,1.0000000000000002,1.0000000001008005
Earth,6879048.006034485,1.0797438402188801,1.2894375593926672e-09,1.87444186791768e-16,-1.8744418681062654e-16,1.8744418681062654e-16,8.423321680160642,8.423321680160644,8.423321681008105,1.0000000000000002,1.000000000100609
Earth,6894144.17181716,1.0821133529771088,1.2866140670667345e-09,1.8662418931218964e-16,-1.8662418933242315e-16,1.8662418933242315e-16,8.386472831094533,8.386472831094535,8.386472832003783,1.0000000000000002,1.0000000001084186
Earth,6909273.466343992,1.0844880656637879,1.2837967573658176e-09,1.8580777901169577e-16,-1.8580777903060267e-16,1.8580777903060267e-16,8.349785181817385,8.349785181817387,8.34978518266702,1.0000000000000002,1.0000000001017553
Earth,6924435.9623164395,1.0868679896902276,1.2809856167517757e-09,1.8499494019773506e-16,-1.8499494021461547e-16,1.8499494021461547e-16,8.313258027141112,8.313258027141114,8.31325802789968,1.0000000000000002,1.0000000000912481
Earth,6939631.732595561,1.0892531364927893,1.2781806317161017e-09,1.8418565724640213e-16,-1.8418565726423e-16,1.8418565726423e-16,8.276890664962417,8.27689066496242,8.276890665763563,1.0000000000000002,1.000000000096793
Earth,6954860.850202252,1.0916435175329229,1.2753817887798791e-09,1.8337991460214338e-16,-1.8337991462179301e-16,1.8337991462179301e-16,8.240682396249586,8.240682396249586,8.240682397132597,1.0,1.0000000001071527
Earth,6970123.3883177135,1.0940391442972397,1.2725890744936955e-09,1.8257769677745168e-16,-1.8257769679644999e-16,1.8257769679644999e-16,8.204632525028753,8.204632525028753,8.204632525882495,1.0,1.000000000104056
Earth,6985419.4202836985,1.0964400282975513,1.2698024754375964e-09,1.8177898835257427e-16,-1.8177898836979404e-16,1.8177898836979404e-16,8.168740358370787,8.168740358370789,8.168740359144607,1.0000000000000002,1.0000000000947293
Earth,7000749.019602909,1.0988461810709322,1.2670219782210138e-09,1.80983773975214e-16,-1.8098377399404947e-16,1.8098377399404947e-16,8.133005206377861,8.133005206377863,8.133005207224286,1.0000000000000002,1.000000000104073
Earth,7016112.259939394,1.1012576141797825,1.2642475694826926e-09,1.801920383602319e-16,-1.8019203837848626e-16,1.8019203837848626e-16,8.097426382170084,8.097426382170084,8.097426382990395,1.0,1.0000000001013052
Earth,7031509.215118801,1.1036743392118664,1.2614792358906457e-09,1.7940376628935876e-16,-1.7940376630689462e-16,1.7940376630689462e-16,8.062003201872544,8.062003201872544,8.062003202660566,1.0,1.0000000000977451
Earth,7046939.959128848,1.1060963677803874,1.258716964142069e-09,1.7861894261089651e-16,-1.7861894262841112e-16,1.7861894262841112e-16,8.026734984601882,8.026734984601884,8.02673498538895,1.0000000000000002,1.0000000000980558
