sample,n,z_min,z_max,z_mean,lcdm_mean_residual_mu,stam_mean_residual_mu,lcdm_weighted_bias_mu,stam_weighted_bias_mu,lcdm_rmse_mu,stam_rmse_mu,lcdm_weighted_rmse_mu,stam_weighted_rmse_mu,lcdm_weighted_sse,stam_weighted_sse,stam_improvement_weighted_rmse,stam_pct_improvement_weighted_rmse
combined all,3521,0.00122,2.26137,0.34851662027832997,-0.02845547102274475,0.09729277878767197,-0.039585992714726834,0.0877730199219236,0.23633061398827993,0.26292276916884644,0.15672657251395244,0.1807274184407961,2909.2089034200617,3868.456575123668,-0.02400084592684365,-15.313833220404916
combined z<1,3479,0.00122,0.99268,0.33766302960620864,-0.027930806202923583,0.09866330568926963,-0.039371110237894275,0.08835633997899203,0.23664402073635457,0.26326248902992716,0.156499690491396,0.1806542124925196,2878.9800669743827,3836.2586246292976,-0.024154522001123585,-15.434229885874148
combined z>=1,42,1.00009,2.26137,1.2475557142857143,-0.07191520693126512,-0.016232532894667445,-0.06794844544605202,0.010780294457723612,0.2087426381454801,0.2330696500419054,0.18423674890708633,0.19014270154758459,30.228836445678844,32.19795049436976,-0.005905952640498258,-3.205632250641118
DES all,1820,0.02509,1.14418,0.4674815769230769,0.036500834054870576,0.18399684848863157,-0.006613517574563051,0.12999697536770766,0.2666527673594588,0.3234707962659943,0.14674465295800213,0.19684490383334952,1711.278916247542,3079.247376604114,-0.05010025087534739,-34.14110828943521
DES z<1,1803,0.02509,0.99268,0.4619651358846368,0.03732652642488261,0.18522788579934135,-0.006052902513811035,0.13083496294153266,0.2673906845655577,0.32455697200321804,0.14640106751185966,0.19703842707396943,1689.6965602067892,3060.7093969178486,-0.05063735956210977,-34.58810814887517
DES z>=1,17,1.00009,1.14418,1.0525488235294116,-0.05107112730581734,0.05343447959394442,-0.07637740776945552,0.025716378612794553,0.17119594873367763,0.17315171287515166,0.18457474386137288,0.17106219838178552,21.58235604075271,18.537979686265174,0.013512545479587357,7.320907073687242
Pantheon all,1701,0.00122,2.26137,0.221229012345679,-0.09795604435681876,0.004522992276357136,-0.10682631118167711,0.0016662839538232662,0.1988306811455159,0.17646393972600985,0.17533019266231056,0.1423105381690031,1197.9299871725198,789.2091985195541,0.03301965449330746,18.83283990733072
Pantheon z<1,1676,0.00122,0.97423,0.20394184964200476,-0.09813305604059337,0.005539237706895331,-0.10722241251951012,0.0018501896180054436,0.1983146044540047,0.17477655584059573,0.17527535667493627,0.14154119123618836,1189.2835067675935,775.5492277114495,0.03373416543874791,19.246382422892978
Pantheon z>=1,25,1.01242,2.26137,1.3801603999999998,-0.08608918107656961,-0.06360610138692352,-0.04717574190743669,-0.026028844826199264,0.23081158016782918,0.2662191298874204,0.1834011202348503,0.2305192452026541,8.646480404926137,13.659970808104593,-0.04711812496780379,-25.691296164095238
