x_m,y_m,x_earth_moon_units,y_earth_moon_units,A_total,g_finite_diff_x_m_s2,g_finite_diff_y_m_s2,g_newton_x_m_s2,g_newton_y_m_s2,relative_vector_error
-96100000.0,-230640000.0,-0.25,-0.6,3.5704885296030925e-11,0.0024527113941284896,0.005964954173112216,0.0024712395343044215,0.005901116583186233,0.01039003366374869
-90951785.71428572,-230640000.0,-0.23660714285714285,-0.6,3.598368534658144e-11,0.0023944590482020815,0.006107410395585251,0.002394757218508602,0.006040356573491602,0.01031964502047642
-85803571.42857143,-230640000.0,-0.22321428571428573,-0.6,3.625331427293455e-11,0.002310821839415954,0.006247324150193207,0.0023111219729556286,0.006177048487323191,0.010655607058236354
-80655357.14285715,-230640000.0,-0.20982142857142858,-0.6,3.6512949484610426e-11,0.002219986928525041,0.00638405326013612,0.0022202869877730857,0.006310569297269934,0.010984626916740594
-75507142.85714287,-230640000.0,-0.19642857142857145,-0.6,3.676176578826974e-11,0.002121956544755934,0.006516933375761842,0.0021222543271190797,0.00644027529074852,0.011305024833056912
-70358928.57142857,-230640000.0,-0.18303571428571427,-0.6,3.699894121748236e-11,0.002016785722485422,0.006645283536327575,0.0020170788814471187,0.006565507455411765,0.011615074456143126
-65210714.28571428,-230640000.0,-0.16964285714285715,-0.6,3.722366328747808e-11,0.0019045857403751092,0.006768412535785773,0.0019048718121985578,0.0066855976202468284,0.01191301924123399
-60062500.0,-230640000.0,-0.15625,-0.6,3.743513560909852e-11,0.0017855269200420698,0.00688562603446516,0.0017858033558786326,0.0067998752948901925,0.012197090839566566
-54914285.71428572,-230640000.0,-0.14285714285714285,-0.6,3.7632584781089316e-11,0.001659840655146321,0.006996234329060597,0.0016601048581691882,0.006907675122110316,0.012465529257867137
-49766071.42857143,-230640000.0,-0.12946428571428573,-0.6,3.781526746552443e-11,0.0015278205509662059,0.007099560663424538,0.0015280699179042391,0.007008344830537033,0.012716604480911522
-44617857.14285715,-230640000.0,-0.11607142857142859,-0.6,3.798247753818821e-11,0.0013898225694918352,0.007194949933674728,0.0013900545356985397,0.007101253547836326,0.01294863917296406
-39469642.85714286,-230640000.0,-0.10267857142857142,-0.6,3.8133553194823094e-11,0.0012462640958363542,0.007281777614625584,0.001246476182795949,0.007185800310059422,0.013160032003186928
-34321428.571428575,-230640000.0,-0.08928571428571429,-0.6,3.8267883885932886e-11,0.001097621868000438,0.007359458712100234,0.001097811731974492,0.007261422582307888,0.013349281078650377
-29173214.28571429,-230640000.0,-0.07589285714285715,-0.6,3.838491694790695e-11,0.0009444287430651122,0.007427456528866866,0.0009445942234226353,0.00732760459058012,0.013515006923303366
-24025000.0,-230640000.0,-0.0625,-0.6,3.8484163797093105e-11,0.000787269307657034,0.007485291022160142,0.0007874084733342496,0.007383885255978489,0.01365597441419694
-18876785.714285716,-230640000.0,-0.04910714285714286,-0.6,3.856520555645028e-11,0.0006267743776653192,0.007532546529132607,0.0006268855701704571,0.007429865521380807,0.013771113081353651
-13728571.428571433,-230640000.0,-0.035714285714285726,-0.6,3.862769799173509e-11,0.0004636144700232538,0.007568878643868919,0.0004636963414457157,0.007465214867877275,0.013859535195971811
-8580357.14285715,-230640000.0,-0.02232142857142859,-0.6,3.867137564579505e-11,0.00029849236605846964,0.007594020046060212,0.00029854391067465826,0.007489676833965959,0.013920551114972875
