r_dimensionless,accumulation_A,transition_fraction,state,su_per_ly,effective_outward_speed_toy,escape_tendency_toy,cumulative_su_from_outer_radius
20.0,0.0025,1.593098286501861e-08,gas-like / normal,1.0048899755501222,0.9983763036925052,0.9999999840690171,0.0
10.000550110022004,0.009998899870735644,1.8233234793857804e-08,gas-like / normal,1.0197022444004489,0.9935217716396348,0.9999999817667652,10.09755888038845
4.99884976995399,0.040018410033224566,3.1299345483122164e-08,gas-like / normal,1.081257173617985,0.9743233997809332,0.9999999687006546,15.299045829412586
2.9997499499899978,0.11112963565007263,1.125726922234773e-07,gas-like / normal,1.2432065640494285,0.9303128274949862,0.9999998874273078,17.578236645810406
2.000200040008002,0.2499499975,1.3697238404946072e-06,gas-like / normal,1.644990637233112,0.8500425532534257,0.9999986302761595,18.971069173746713
1.4984496899379876,0.44536457294203446,4.6155988485684176e-05,compressed / dense,2.5367058400917806,0.7486129913513968,0.9999538440115143,19.967175197177763
1.1981896379275856,0.6965445220974759,0.004226276916352003,compressed / dense,5.2413329596176785,0.6331871960306783,0.995773723083648,21.015975772654357
1.0480596119223844,0.9103911544482746,0.16617817006798688,near-critical,16.88692652937326,0.4614000693160596,0.8338218299320131,22.33028439060614
1.0006501300260051,0.9987010068568751,0.4941547971571305,near-critical,76.94975225262243,0.2642974159993061,0.5058452028428695,23.883796774857352
0.9492898579715943,1.1096916497183182,0.8780882517281123,transition shell,17.47751218489083,0.05926375090268526,0.12191174827188767,25.63252529691826
0.7991598319663933,1.565787083666849,0.9999622379251105,liquid-like / trapped,6.300681504234824,1.3647327088826439e-05,3.7762074889480246e-05,27.092798801490567
0.6016203240648129,2.762835333389994,0.9999999999999833,liquid-like / trapped,4.090704475731844,2.7642466889445484e-15,1.6653345369377348e-14,28.070483463718244
0.40013002600520103,6.2459386677402735,1.0,liquid-like / trapped,3.3699530810203853,0.0,0.0,28.81091794859205
0.30136027205441085,11.011031409527629,1.0,liquid-like / trapped,3.1942999100370275,0.0,0.0,29.134465153560026
