x_r_over_Rs,r_km,accumulation_A,transition_fraction,state,su_density_per_meter_toy,escape_tendency_toy,effective_outward_speed_fraction_c_toy,cumulative_su_in_Rs_units_from_outer_radius_toy
20.0,590.6678764133758,0.05,1.2533888084497407e-10,gas-like / weak accumulation,1.1025641025641026,0.9999999998746611,0.9680224497099752,0.0
9.999333222203699,295.31424599543885,0.10000666822258529,4.162063424763647e-10,gas-like / weak accumulation,1.2162321927887159,0.9999999995837937,0.9370634014228187,11.45601275165712
5.999066511085181,177.17279382826413,0.16669260094919472,2.0624369264927157e-09,compressed / moderate accumulation,1.388421680003082,0.9999999979375631,0.897313308851142,16.599184402288476
2.998866477746291,88.56670470288307,0.3334593278562773,1.1287596857143062e-07,compressed / moderate accumulation,1.9643954181973973,0.9999998871240314,0.8051322929619811,21.373843025945995
1.9987997999666611,59.03134166108939,0.5003002301764686,6.188606211514362e-06,dense / strong accumulation,2.9069961869612833,0.9999938113937885,0.7223818958998849,23.70421966684342
1.500416736122687,44.31239836303379,0.6664815020553272,0.00033386365393943656,dense / strong accumulation,4.717975534741751,0.9996661363460606,0.6482058938111648,25.505339142089905
1.2000666777796298,35.44204180592744,0.8332870318924326,0.01796659306156916,dense / strong accumulation,9.693069019982905,0.9820334069384309,0.5713424437968601,27.462979848421195
1.1010501750291715,32.517748435452816,0.9082238236540908,0.09951472114571608,near-critical exterior,16.55495053997642,0.9004852788542839,0.49899113564773345,28.697396500631882
1.0515419236539423,31.05560175021551,0.950984432960274,0.23570485736165211,near-critical exterior,26.69687623820695,0.7642951426383479,0.411913817027894,29.726592981925158
1.008634772462077,29.78840795634317,0.9914391485423415,0.44881482556804786,near-critical exterior,60.08307480179246,0.5511851744319521,0.2893495219569309,31.395352163764915
0.9987331221870313,29.495978619295713,1.0012684848282538,0.5076103211986371,transition shell,77.23344028973541,0.49238967880136286,0.2568380981124556,32.08894541412622
0.9888314719119853,29.203549282248247,1.011294672960216,0.5673560975263271,transition shell,56.72689270784931,0.4326439024736729,0.22420783490731652,32.742785222012735
0.9492248708118021,28.0338319340584,1.0534911491992132,0.7830938167026379,transition shell,27.843565419724396,0.2169061832973621,0.10936552124746748,34.281777926378574
0.8007001166861143,23.64739187834646,1.248907024191198,0.9974618250558994,state-changed / trapped,10.119204064802744,0.0025381749441005796,0.001127108756284707,36.645238285262586
0.5003500583430571,14.77703532124011,1.998600746268657,0.9999999999609595,state-changed / trapped,4.9050396427595,3.904054857173378e-11,1.064947215377802e-11,38.68534063618277
0.24950825137522922,7.3688254493710685,4.007883484767504,1.0,state-changed / trapped,3.6429524938210687,0.0,0.0,39.73694768796994
