test,n,mean_abs_error,median_abs_error,max_abs_error,p95_abs_error,p99_abs_error,mean_ratio,median_ratio,max_ratio_error_from_1
surface gravity STAM/Newtonian ratio error,4,1.942890293094024e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,1.0000000000000002,1.0000000000000002,2.220446049250313e-16
single-body radial profile relative error,8000,6.69353974843743e-17,0.0,3.124672689761033e-16,2.0157223347178536e-16,2.2002024639484446e-16,1.0,1.0,2.220446049250313e-16
numeric derivative relative error in g,192,1.6836764500673256e-05,5.428304201274316e-09,0.00010001000100672609,0.0001000100010009112,0.00010001000100443459,1.0000168366737043,1.0000000053750087,0.00010001000100667845
analytic multibody random point relative vector error,5000,1.2739982678637729e-16,1.332672547670596e-16,1.1999850215460417e-15,2.8142517417573196e-16,3.6838057286134925e-16,1.0,1.0000000000000002,1.1102230246251565e-15
Earth-Moon line x-acceleration absolute error,5000,1.7747109188584638e-17,8.673617379884035e-19,1.7763568394002505e-15,5.551115123125783e-17,4.440892098500626e-16,1.0,1.0000000000000002,6.261657858885883e-14
