catalog,cid,z,mu_obs,muerr,weight,observed_distance_mly,lcdm_distance_mly,lcdm_mu,stam_unadjusted_su,stam_unadjusted_distance_mly,stam_unadjusted_mu_equiv,stam_adjusted_union_distance_mly,stam_adjusted_union_mu,stam_adjusted_union_excess_mly,stam_adjusted_union_excess_fraction,stam_adjusted_union_flattening_ratio,resid_mu_stam_adjusted_union,stam_adjusted_original_distance_mly,stam_adjusted_original_mu,stam_adjusted_original_excess_mly,stam_adjusted_original_excess_fraction,stam_adjusted_original_flattening_ratio,resid_mu_stam_adjusted_original,stam_adjusted_des_distance_mly,stam_adjusted_des_mu,stam_adjusted_des_excess_mly,stam_adjusted_des_excess_fraction,stam_adjusted_des_flattening_ratio,resid_mu_stam_adjusted_des,resid_mu_lcdm,resid_mu_stam_unadjusted,observed_over_unadjusted_distance,observed_over_lcdm_distance,unadjusted_over_lcdm_distance,adjusted_union_over_lcdm_distance,unadjusted_fraction_of_observed,observed_excess_over_unadjusted_mly,observed_excess_over_unadjusted_fraction
DES,2004ef,0.03012,35.5473,0.1369,53.357208905745026,419.6486932094469,430.44675650149287,35.60246782310411,124.18610692224024,405.04090782004164,35.47036506356277,419.98273824312105,35.54902782862875,14.94183042307941,0.035577248925954263,0.9644227510740457,-0.0017278286287520928,423.18788853218507,35.56553677408694,18.14698071214343,0.04288161642594666,0.9571183835740533,-0.01823677408693669,449.5142775381611,35.696588076797866,44.47336971811944,0.09893650088643495,0.9010634991135651,-0.14928807679786615,-0.05516782310410662,0.07693493643723315,1.0360649630873715,0.9749142881693231,0.940977953027361,0.9756903308009116,0.9651904423252559,14.607785389405251,0.03480955767474414
DES,2007nq,0.04349,36.36083,0.0883,128.2562662805298,610.3681664517406,627.6496016041484,36.42145691221122,179.6692060459294,586.0025741020835,36.27236824335415,610.3013763522735,36.36059237162757,24.298802250189965,0.0398144313477091,0.9601855686522909,0.00023762837243168633,614.9292643360515,36.37699643226523,28.926690233967975,0.047040679166896644,0.9529593208331033,-0.016166432265229957,652.9417031763535,36.50724266342756,66.93912907427,0.10251930417161663,0.8974806958283834,-0.14641266342756154,-0.06062691221121952,0.08846175664584877,1.0415793264850277,0.9724664285482858,0.9336460544296956,0.9723600155125784,0.9600804994610025,24.365592349657163,0.039919500538997475
DES,2006az,0.03201,35.60595,0.0962,108.05624111237418,431.1375754127502,458.09744987467207,35.73765999554857,132.01590910583454,430.5783069952985,35.60313135377723,446.741188880871,35.6831506028854,16.162881885572517,0.036179520240929804,0.9638204797590701,-0.07720060288539798,450.147459158193,35.699644640368476,19.56915216289451,0.043472759347548434,0.9565272406524515,-0.09369464036847575,478.12580285279097,35.830581533487404,47.54749585749249,0.09944557598396708,0.9005544240160329,-0.22463153348740406,-0.13170999554856877,0.0028186462227708375,1.001298877366476,0.9411481673401639,0.9399273170219516,0.9752099449649677,0.9987028075274665,0.5592684174517331,0.0012971924725334288
DES,2007is,0.02866,35.58174,0.1241,64.9316496989444,426.35746863252314,409.1382157502583,35.4922208591139,118.14069957107971,385.3234261923323,35.36199769103779,399.3449272028563,35.43961148497894,14.021501010523991,0.0351112535940677,0.9648887464059323,0.1421285150210636,402.3947149613083,35.45613196511317,17.07128876897599,0.04242423703456805,0.9575757629654319,0.12560803488683092,427.4449908215763,35.58727178473367,42.121564629244006,0.09854265585914036,0.9014573441408597,-0.005531784733669554,0.0895191408861038,0.2197423089622106,1.1064924674984824,1.0420866402095657,0.9417928009627368,0.9760636181847654,0.9037567171702157,41.03404244019083,0.09624328282978434
DES,2008gb,0.03796,36.20641,0.1163,73.93338158718704,568.4704248188903,545.6331176096795,36.117374236114486,156.6940063619759,511.06749506653415,35.97526192383296,531.2929962005193,36.05954107891385,20.22550113398512,0.03806845051341814,0.9619315494865819,0.14686892108614558,535.3324219964312,36.075988359188635,24.264926929897058,0.045326839796859565,0.9546731602031404,0.1304216408113632,568.5113637848392,36.206566375125725,57.443868718305055,0.10104260420737247,0.8989573957926276,-0.00015637512572652668,0.08903576388551215,0.23114807616703814,1.1123196648319085,1.0418546940648634,0.9366504315306755,0.9737183815528249,0.8990221351081823,57.4029297523561,0.10097786489181768
DES,2007ux,0.03264,35.67592,0.1568,40.673157017909205,445.25609697703055,467.3309605415545,35.780993394041225,134.62682061280196,439.093961388765,35.645657947426095,455.6712990991681,35.72612899964592,16.57733771040307,0.036380034782035574,0.9636199652179644,-0.050208999645924735,459.1446093725761,35.74261807378542,20.050647983811075,0.043669570707168724,0.9563304292928313,-0.06669807378542458,487.67360463004815,35.873516874765826,48.57964324128312,0.09961507610840636,0.9003849238915936,-0.19759687476582855,-0.10507339404122717,0.03026205257390302,1.0140337516115592,0.9527639608149585,0.9395781543767874,0.9750505264430268,0.986160468929899,6.162135588265528,0.013839531070101023
DES,2002hd,0.03134,36.00315,0.1791,31.175169850119133,517.673430010627,448.28679479337933,35.690650354831604,129.23976169269605,421.5237251557699,35.55698074271834,437.2499176154834,35.63651930634761,15.726192459713502,0.0359661416186774,0.9640338583813226,0.36663069365238954,440.5848913890314,35.65301862558687,19.061166233261474,0.04326332247383101,0.956736677526169,0.3501313744131309,467.9776215167634,35.78399605373377,46.4538963609935,0.09926520890129674,0.9007347910987032,0.21915394626622486,0.3124996451683941,0.44616925728166024,1.2281003395937582,1.1547817959911775,0.9402992237370168,0.9753798744328774,0.8142657140953066,96.14970485485713,0.18573428590469349
DES,2006is,0.03071,35.72373,0.1121,79.57722213424518,455.1681604663306,439.0704228074377,35.64554153783162,126.62985866152238,413.0113599704212,35.51268061067316,428.3307714242455,35.59176700161486,15.319411453824273,0.035765376843894726,0.9642346231561053,0.13196299838514136,431.59870520170745,35.60827129036829,18.587345231286236,0.043066267361945514,0.9569337326380545,0.11545870963171012,458.44078376656546,35.73928685644974,45.42942379614425,0.09909551114299762,0.9009044888570024,-0.015556856449734369,0.07818846216838438,0.21104938932684547,1.102071769887706,1.0366632249012886,0.9406494687790775,0.9755400254143234,0.9073819213261342,42.15680049590941,0.09261807867386586
DES,2004gu,0.04664,36.54971,0.1315,57.829374430742085,665.8369236256893,674.6505054012431,36.57826487493384,192.773178894658,628.7420172671842,36.42523304543937,655.4891647696545,36.51569821073896,26.747147502470284,0.04080486595361115,0.9591951340463889,0.03401178926103654,660.4522527338625,36.53207775398728,31.710235466678228,0.04801291135796348,0.9519870886420365,0.017632246012716735,701.2179493885345,36.6621357467001,72.4759321213503,0.10335721181203314,0.8966427881879668,-0.11242574670010441,-0.02855487493384601,0.12447695456062746,1.0589986120535373,0.9869360777098775,0.9319521918882204,0.9715981230604837,0.9442883008702615,37.09490635850511,0.05571169912973856
DES,2005eq,0.02823,35.63531,0.1201,69.32884821904588,437.0064782383621,402.87094083953593,35.458700338589374,116.36070324460772,379.5178546524982,35.3290316865572,393.2721076310827,35.40633635307568,13.754252978584475,0.034973883760622416,0.9650261162393776,0.22897364692431665,396.2761379318887,35.42286023348234,16.75828327939047,0.042289408004351894,0.9577105919956481,0.21244976651765768,420.95057224924267,35.55402614595781,41.43271759674445,0.0984265619960064,0.9015734380039936,0.08128385404218363,0.17660966141062318,0.306278313442796,1.1514780474254702,1.0847307014193968,0.9420333317206433,0.9761739251075037,0.8684490357726297,57.48862358586388,0.13155096422737036
