framework,catalog,DeltaM,chi2_per_dof,N
Model-A V_3,Pantheon+,0.04877977483655242,0.9234292812962525,1578
Model-A V_3,Union3,0.046409067182217226,1.5627653289729113,22
Model-A V_3,DES,0.19717981841465465,1.9199833564964939,1820
LCDM,Pantheon+,-0.1780111711801224,0.9054389549572286,1578
LCDM,Union3,-0.15814085893494248,1.256813856048686,22
LCDM,DES,-0.06460456609061334,1.9150707002651466,1820
